SubscriptionID,ActionID,DataID,TimePerformed
997,1,300,6/8/2020 15:05:04
111,2,602,2/27/2022 03:39:49
738,2,470,4/1/2023 06:36:03
313,2,264,1/5/2022 08:31:38
866,3,478,11/22/2020 15:33:45
446,1,671,7/16/2020 04:14:57
836,2,218,8/5/2023 00:35:15
272,1,97,2/8/2020 02:19:34
592,2,688,8/24/2023 21:30:23
981,2,634,7/12/2020 18:50:48
172,3,379,9/23/2022 03:56:02
939,1,203,3/15/2020 02:54:32
917,2,808,8/3/2020 18:59:58
875,2,393,1/4/2020 14:17:05
376,1,573,10/12/2023 14:20:56
529,1,233,7/18/2021 19:34:43
587,3,145,11/13/2023 05:00:12
127,3,132,7/31/2022 11:33:42
562,3,234,1/20/2023 16:17:29
362,2,667,4/12/2023 05:23:53
754,2,408,9/7/2023 11:38:37
477,1,846,5/29/2022 10:45:17
589,3,23,7/9/2021 18:29:40
476,2,978,12/10/2020 21:59:22
368,2,489,4/17/2023 02:00:34
136,2,834,11/27/2022 10:23:08
951,2,788,6/18/2023 04:16:04
821,2,593,12/26/2021 02:34:15
840,3,110,10/24/2023 17:11:31
872,3,712,6/7/2020 21:42:23
635,1,206,6/22/2023 19:30:43
621,2,816,9/22/2023 04:01:17
329,1,491,12/3/2020 18:59:38
659,1,203,12/19/2022 10:57:24
138,2,658,2/6/2020 18:57:55
247,2,347,9/20/2022 08:52:39
737,2,490,11/5/2023 10:56:41
602,2,126,3/4/2020 03:05:08
895,2,951,10/27/2023 10:59:32
175,2,624,8/9/2022 20:21:39
189,2,504,11/29/2023 17:51:35
137,2,313,5/3/2023 12:44:32
860,1,568,10/7/2020 08:41:25
297,2,882,9/11/2023 13:47:10
409,1,370,6/12/2021 04:13:37
116,2,799,7/20/2020 07:15:18
466,2,948,8/11/2022 07:22:12
358,2,272,10/11/2023 22:06:10
886,2,219,7/15/2020 09:54:03
262,2,50,4/12/2021 16:16:22
277,1,360,1/2/2023 08:49:28
142,2,287,1/6/2022 23:40:07
63,1,915,11/10/2022 04:31:47
756,1,232,5/8/2021 11:35:04
825,2,410,11/14/2022 21:11:11
411,2,212,5/1/2020 01:13:26
727,2,593,4/17/2020 04:11:03
278,2,69,5/31/2023 16:57:21
721,3,356,3/7/2023 11:44:28
930,1,515,2/26/2023 08:18:47
150,2,202,2/23/2022 13:58:54
560,2,123,6/19/2022 20:46:42
152,3,242,6/12/2022 18:17:38
797,2,565,7/10/2021 13:07:48
547,2,953,10/4/2023 02:20:51
798,1,70,8/27/2023 00:12:25
181,2,421,9/29/2020 06:49:33
984,3,889,12/24/2021 20:38:17
919,2,662,7/1/2020 02:25:26
992,1,66,6/8/2021 17:43:36
144,2,964,7/18/2020 00:16:40
91,2,383,10/9/2020 06:33:27
809,1,127,7/7/2023 20:32:08
150,2,757,4/3/2020 14:20:40
236,2,873,8/3/2023 00:48:30
483,2,900,10/8/2022 04:12:27
162,2,432,7/28/2023 23:03:08
986,1,304,4/14/2023 08:07:59
28,2,571,2/12/2022 18:25:20
76,1,563,6/17/2023 08:19:05
98,2,214,9/20/2023 00:40:13
359,1,316,6/17/2020 09:39:55
265,1,495,10/22/2021 15:00:07
309,2,570,8/5/2022 22:35:46
759,3,669,3/13/2021 23:04:56
973,1,838,2/1/2023 12:23:38
486,2,266,5/11/2023 09:57:05
520,1,234,3/17/2021 02:26:46
297,2,479,11/22/2021 13:50:11
986,2,250,10/21/2022 01:34:00
878,2,903,7/30/2021 23:32:56
893,1,128,2/23/2022 08:42:18
213,2,936,8/6/2021 16:00:33
100,1,34,7/14/2021 17:56:01
253,2,431,10/13/2022 03:48:11
244,2,765,4/24/2023 12:20:49
534,1,378,3/20/2023 02:22:15
669,3,74,10/30/2022 11:48:53
577,2,242,11/25/2022 11:53:14
366,1,117,4/14/2022 14:10:12
422,1,179,1/4/2022 15:48:55
37,2,701,6/30/2020 07:47:05
28,2,596,9/9/2020 17:07:47
598,2,681,4/30/2022 07:09:07
221,1,503,7/2/2022 09:49:16
240,2,859,7/16/2021 13:21:28
362,2,367,5/26/2021 05:59:54
309,2,637,8/30/2020 09:01:47
608,1,364,6/10/2020 04:31:09
377,2,609,11/9/2020 11:30:18
503,1,745,8/20/2022 10:53:10
653,1,204,9/12/2022 15:00:10
713,2,134,6/3/2020 03:34:48
437,2,561,5/18/2021 05:36:06
761,2,502,3/30/2020 11:37:42
772,2,548,4/13/2021 23:04:11
263,2,185,2/8/2020 03:48:12
166,2,146,7/25/2021 03:11:52
43,1,315,3/20/2022 22:01:11
202,2,182,9/4/2020 01:29:45
3,2,71,7/5/2022 22:27:46
490,2,608,11/25/2021 02:39:57
241,3,428,4/25/2020 01:59:21
350,2,434,4/21/2022 22:29:17
772,1,704,3/13/2021 19:17:28
566,2,767,6/17/2021 02:26:14
977,2,909,11/8/2022 16:46:48
567,2,475,9/6/2023 14:06:20
380,1,615,1/2/2021 21:22:36
67,2,704,2/24/2020 02:17:38
353,2,354,8/13/2021 22:36:08
104,2,174,3/10/2021 20:28:08
847,2,815,6/13/2023 07:47:46
523,1,495,1/17/2021 18:40:16
224,2,102,10/10/2020 08:13:39
792,1,121,10/29/2020 18:54:49
691,2,311,1/2/2020 02:24:06
338,2,134,4/17/2022 05:58:12
892,2,549,12/1/2023 17:13:56
949,2,448,1/24/2023 15:04:40
850,3,398,7/23/2022 21:42:40
467,2,414,3/16/2023 08:15:19
443,2,276,8/22/2021 17:32:11
426,3,643,1/8/2021 05:39:33
695,1,627,8/15/2021 04:08:27
26,1,83,7/21/2022 08:48:54
865,2,528,4/8/2021 04:07:58
460,2,780,5/29/2020 16:26:35
323,2,433,4/27/2023 14:06:16
22,2,228,9/2/2020 10:32:56
910,1,400,3/31/2021 03:17:03
235,3,434,7/5/2023 13:45:18
728,2,239,10/1/2021 21:11:49
12,3,970,10/10/2023 01:15:58
227,1,1000,6/9/2020 13:35:26
499,2,833,8/5/2020 23:29:10
381,2,703,4/5/2023 02:04:04
504,1,502,9/13/2022 18:34:17
134,2,35,10/29/2020 12:29:51
672,2,607,1/3/2020 11:31:54
736,2,359,3/29/2022 16:17:04
136,1,897,11/1/2023 07:51:36
683,1,331,2/6/2023 06:00:27
500,2,771,3/4/2022 06:47:32
131,2,37,11/30/2022 14:43:43
847,2,417,9/1/2020 02:22:39
749,1,876,9/7/2022 00:45:48
565,2,231,3/31/2022 22:01:49
319,2,401,8/10/2021 21:47:23
99,1,287,8/16/2021 03:59:26
405,2,973,4/28/2022 17:16:47
137,1,622,5/16/2020 15:05:48
448,3,271,12/3/2023 12:06:56
972,1,300,2/14/2023 06:35:45
953,1,528,10/8/2020 17:40:08
301,2,580,3/8/2021 03:00:53
129,2,196,8/8/2020 12:40:32
1,1,987,1/10/2020 17:49:19
215,1,257,6/3/2021 03:07:43
728,2,292,11/14/2021 18:59:18
982,3,656,1/7/2023 03:15:46
506,1,527,9/29/2021 15:44:03
746,1,19,10/5/2023 23:13:11
409,1,336,8/7/2023 08:41:02
199,2,171,12/25/2022 02:59:36
763,2,10,12/6/2021 04:39:12
825,2,138,7/9/2020 07:43:57
185,1,552,11/4/2020 09:03:09
974,2,567,2/4/2020 04:31:59
912,1,836,11/18/2020 21:07:24
553,3,890,5/2/2022 20:52:24
967,2,788,10/20/2022 16:35:17
706,2,508,6/19/2020 02:13:42
858,2,955,3/24/2020 17:08:28
969,2,347,3/30/2021 09:06:13
741,1,875,4/29/2022 23:34:48
693,1,727,3/26/2022 09:01:22
14,1,162,10/17/2023 01:40:48
283,1,305,5/21/2021 19:14:08
610,1,29,4/2/2020 13:05:03
239,3,950,8/23/2020 18:26:15
109,1,538,9/6/2023 07:58:12
2,1,783,5/29/2020 00:55:34
340,2,360,6/7/2023 11:56:26
322,2,454,9/29/2022 17:03:37
906,3,906,11/17/2022 08:15:38
53,2,18,6/10/2020 22:35:54
515,1,49,9/28/2023 19:12:20
354,1,959,10/25/2022 20:33:09
3,3,802,2/25/2022 15:59:14
289,1,795,2/26/2022 07:15:10
625,1,809,2/3/2023 14:58:45
335,1,890,1/18/2023 08:15:46
176,2,488,7/2/2023 08:20:17
724,1,66,12/12/2020 20:03:17
633,2,805,3/27/2020 07:35:32
514,1,577,4/20/2020 11:40:15
755,2,677,10/28/2020 03:27:28
106,2,404,9/28/2022 07:36:43
955,3,613,2/22/2021 21:57:22
854,2,430,10/21/2023 07:34:20
324,3,193,7/18/2020 17:58:16
278,3,829,9/7/2021 00:13:28
952,2,958,7/7/2022 10:24:20
278,2,738,3/28/2020 15:47:00
913,1,991,2/28/2022 15:48:30
695,1,149,12/13/2020 15:47:17
300,2,930,12/14/2021 19:47:23
630,2,727,10/13/2021 23:28:57
203,1,772,1/8/2020 00:23:54
751,2,607,3/23/2023 02:30:12
595,2,498,5/8/2020 17:42:08
187,1,200,1/22/2021 16:12:45
106,2,560,11/18/2023 02:02:22
787,1,895,4/25/2020 06:27:46
533,1,983,3/31/2020 21:00:52
137,1,478,1/8/2022 18:18:54
581,2,711,9/16/2023 22:17:37
999,1,328,5/21/2021 16:03:42
311,1,168,3/17/2022 00:15:49
854,3,78,9/1/2022 10:06:54
857,1,360,12/6/2020 17:07:47
916,2,530,7/11/2022 22:19:34
999,2,919,6/30/2020 17:48:26
227,2,113,4/21/2020 03:55:12
454,2,486,6/12/2020 19:06:00
459,2,274,12/7/2021 22:50:44
83,2,644,11/8/2021 10:41:44
465,2,273,8/15/2023 21:35:32
233,1,429,8/5/2021 00:24:21
275,2,577,7/31/2022 19:49:44
996,1,812,10/31/2022 14:04:40
836,2,710,8/1/2020 08:55:28
408,2,118,5/10/2022 04:00:33
745,1,930,5/31/2021 07:41:52
91,3,74,10/12/2020 07:47:13
513,2,794,5/4/2022 16:19:31
191,2,631,5/20/2020 09:55:37
609,2,705,5/18/2021 06:44:49
168,1,244,7/28/2022 19:46:41
966,2,410,10/6/2023 20:29:03
155,2,897,3/18/2021 22:33:45
751,1,571,10/20/2022 10:28:04
639,2,122,3/12/2021 02:45:31
563,2,174,3/18/2023 09:05:41
151,1,165,7/6/2022 08:25:49
774,2,850,5/14/2023 01:26:28
177,2,382,6/5/2021 23:21:35
713,2,547,8/10/2021 12:29:55
624,1,392,8/4/2021 17:27:45
889,1,405,1/29/2023 00:52:20
370,2,944,12/16/2023 01:28:54
928,1,36,5/25/2023 15:00:13
816,3,890,8/15/2023 23:59:37
546,1,280,11/21/2023 06:04:33
139,2,527,8/22/2023 08:38:15
590,2,658,5/28/2022 03:25:35
431,2,290,9/5/2020 16:02:17
67,2,523,10/11/2020 07:58:55
159,2,474,10/2/2023 07:25:03
235,2,551,7/22/2020 12:54:27
432,2,671,8/2/2021 08:34:35
233,1,138,4/22/2021 18:19:41
832,2,976,12/24/2022 12:50:37
270,3,609,5/8/2020 04:58:49
511,2,524,12/19/2021 05:35:58
975,2,279,8/18/2021 02:21:08
332,1,676,7/23/2020 06:56:24
855,1,72,1/28/2021 13:17:24
856,2,883,12/11/2021 01:54:25
696,2,237,11/29/2021 01:57:37
949,2,841,12/13/2021 04:31:26
926,2,328,4/21/2020 18:15:57
492,2,541,9/2/2021 11:33:04
480,2,254,10/17/2022 03:29:01
481,2,849,6/27/2021 11:01:05
260,3,219,10/18/2023 22:57:07
636,1,732,8/18/2022 13:48:02
693,2,240,2/4/2020 23:29:51
701,1,374,6/3/2022 16:03:36
316,1,289,5/20/2023 20:39:41
436,2,608,11/11/2021 04:13:17
529,3,692,1/29/2023 16:02:58
777,1,898,4/23/2020 08:39:59
321,2,204,7/12/2021 21:26:26
576,2,168,1/2/2022 17:53:55
969,2,750,4/13/2022 14:01:29
662,2,714,11/8/2022 07:26:29
499,1,836,4/24/2023 05:26:34
713,3,249,6/20/2021 05:54:38
231,2,986,9/3/2020 10:56:36
170,1,481,6/23/2023 05:52:29
618,1,499,9/17/2021 06:08:59
234,1,572,8/8/2022 06:20:56
147,1,730,12/10/2022 21:37:59
647,1,475,10/30/2020 14:56:28
904,2,831,7/3/2020 19:14:33
500,2,539,11/8/2022 04:02:20
779,2,391,6/26/2020 05:48:08
4,1,705,9/10/2021 03:19:56
110,1,577,6/4/2021 03:17:06
18,2,104,10/17/2022 19:11:06
560,1,254,4/7/2023 22:59:14
379,2,8,9/18/2021 20:55:37
883,1,110,12/16/2020 13:08:41
987,2,771,3/31/2023 19:35:37
576,1,533,4/18/2022 00:05:05
101,2,970,8/6/2023 21:02:19
13,2,704,2/15/2023 22:21:12
105,2,834,3/5/2022 08:39:57
781,3,808,3/1/2020 19:30:39
900,2,953,7/15/2020 20:18:23
78,2,755,12/13/2023 09:34:09
386,2,777,9/13/2022 07:38:19
734,3,135,3/24/2022 08:04:07
609,2,338,7/20/2021 19:29:35
575,1,927,7/5/2022 03:06:39
645,2,956,10/29/2023 21:13:36
783,2,421,9/5/2021 17:32:32
170,2,236,8/3/2021 12:06:31
794,2,612,2/18/2022 13:51:23
316,1,623,4/13/2021 14:29:45
883,2,214,7/21/2023 22:22:11
774,1,175,5/2/2020 19:16:55
68,3,949,4/19/2021 19:01:13
892,2,142,10/11/2022 00:27:46
965,1,813,11/9/2023 18:27:53
890,2,27,9/5/2020 03:44:04
164,1,795,2/27/2020 04:32:16
105,2,171,7/30/2020 12:36:08
9,2,251,5/9/2020 03:19:14
446,2,342,4/16/2022 03:05:03
822,2,326,2/4/2021 23:48:22
162,2,360,10/4/2021 08:29:28
798,2,694,6/2/2022 05:57:53
345,2,535,5/3/2020 23:35:09
828,2,653,3/23/2020 22:37:20
477,3,696,7/21/2021 03:03:19
952,2,593,4/23/2023 08:35:37
367,2,528,2/15/2020 14:20:24
480,2,677,5/16/2022 21:59:05
625,3,191,4/16/2021 20:57:23
534,1,56,7/15/2020 19:59:44
232,2,168,12/21/2020 22:21:57
675,2,899,3/30/2020 18:49:37
319,3,252,11/23/2020 18:59:14
532,2,379,5/15/2020 05:01:01
267,2,20,8/11/2022 01:34:48
497,3,56,5/19/2021 16:32:23
810,2,695,11/12/2020 07:55:18
909,1,389,8/6/2021 13:50:55
854,2,836,7/5/2021 18:05:20
916,2,484,9/5/2022 05:04:03
997,2,445,3/19/2020 09:20:16
48,2,9,8/13/2020 09:41:19
957,2,17,8/12/2023 04:32:20
473,2,608,11/25/2022 22:38:53
489,1,14,12/8/2020 17:00:56
162,3,449,8/13/2021 17:01:10
754,1,898,2/13/2021 15:15:29
22,2,545,1/20/2020 10:54:04
220,2,949,5/17/2020 17:14:02
231,2,830,2/13/2020 16:57:14
204,2,67,2/17/2021 22:06:15
977,2,168,11/8/2020 04:10:23
170,1,124,3/3/2020 16:11:28
932,3,22,9/26/2023 08:40:26
198,1,848,8/28/2020 11:41:48
924,2,198,11/22/2023 23:06:34
823,2,467,2/21/2020 23:21:43
408,2,26,11/26/2022 11:45:02
699,2,452,1/24/2020 05:16:42
374,1,415,11/18/2021 07:16:23
239,2,89,7/23/2021 11:36:06
838,2,609,8/10/2022 13:38:18
956,2,491,10/29/2021 06:36:36
348,2,948,10/21/2023 19:38:40
365,2,91,11/12/2022 23:34:38
258,2,167,10/21/2020 02:10:30
799,2,133,9/16/2021 11:45:23
484,1,589,4/16/2021 11:00:44
85,1,99,11/10/2023 04:38:00
290,1,171,12/21/2021 02:57:55
718,2,527,9/8/2022 05:50:19
338,2,61,3/5/2020 02:44:06
808,1,777,8/3/2022 05:00:53
366,2,812,1/30/2020 03:45:13
286,2,549,2/8/2020 10:48:32
84,2,167,4/25/2023 07:06:15
121,1,746,3/28/2020 20:02:47
55,1,424,6/7/2021 15:36:51
163,2,366,8/5/2021 15:32:30
647,1,359,8/17/2022 13:15:19
760,1,599,2/21/2022 04:44:57
716,1,888,6/5/2021 05:38:25
701,2,602,9/4/2023 22:27:24
159,2,638,6/4/2022 14:17:47
56,1,984,9/21/2023 05:58:59
161,2,340,12/17/2021 12:27:11
907,2,404,1/1/2021 21:17:30
790,2,638,9/12/2023 00:52:21
931,1,307,4/30/2021 16:31:37
785,2,511,5/16/2020 20:14:23
289,1,740,8/22/2022 20:41:31
779,2,634,4/13/2021 18:14:41
476,2,321,1/18/2023 18:06:35
809,1,441,8/29/2022 03:47:24
397,1,993,12/24/2023 23:11:51
284,2,415,3/23/2023 01:49:32
34,1,989,9/12/2021 00:52:10
544,2,901,1/10/2023 13:29:46
939,2,201,3/4/2022 04:27:21
270,1,275,11/20/2022 21:37:46
630,1,596,3/27/2023 17:27:01
397,2,269,9/24/2021 02:32:10
634,2,5,2/17/2023 16:20:40
5,1,745,3/9/2021 18:07:49
630,2,89,7/21/2020 18:30:58
177,1,747,7/3/2020 10:01:53
490,2,420,2/22/2022 01:34:27
746,2,442,5/25/2023 04:01:08
176,1,331,2/15/2021 09:27:07
563,2,200,9/18/2023 19:25:04
306,2,258,4/14/2023 13:52:07
56,1,342,12/16/2020 02:28:42
573,3,47,9/27/2023 17:38:40
457,2,215,10/27/2022 15:18:21
462,2,340,12/30/2022 11:00:00
553,2,138,1/20/2022 15:46:52
700,2,268,12/21/2020 04:01:19
404,2,651,10/21/2022 14:49:28
936,2,2,6/10/2021 21:00:23
24,1,70,2/20/2023 06:43:11
205,2,3,10/14/2022 20:36:52
743,1,952,6/15/2021 06:47:13
783,2,960,12/25/2020 16:56:46
159,2,65,3/31/2020 14:03:57
97,2,307,8/5/2020 13:40:54
309,1,392,11/18/2021 09:32:14
335,2,8,6/2/2022 06:45:23
408,2,918,8/20/2022 19:23:25
746,2,987,8/16/2022 15:02:35
587,2,258,9/9/2022 17:34:20
903,1,411,9/15/2022 05:55:43
734,2,37,7/31/2022 10:45:37
912,1,943,11/26/2023 15:49:31
493,1,491,4/25/2021 16:05:33
932,2,585,9/3/2022 15:39:54
514,2,40,10/31/2023 05:55:36
261,2,621,9/25/2022 22:26:39
494,2,426,1/10/2021 03:40:59
931,2,100,1/8/2023 03:10:19
881,2,119,8/17/2023 09:03:41
879,1,279,12/25/2020 08:15:29
423,1,197,3/22/2020 09:14:55
612,2,172,1/28/2023 04:14:41
80,1,757,5/27/2022 21:59:56
953,1,256,1/19/2021 17:44:21
295,2,478,9/2/2021 02:13:39
839,2,689,12/16/2023 11:19:11
351,1,375,6/20/2021 06:07:47
137,2,966,4/23/2022 11:52:11
542,2,948,12/7/2020 17:32:20
115,1,281,6/14/2021 00:31:46
748,2,523,8/4/2020 01:02:38
488,2,536,12/19/2021 20:44:24
997,2,527,8/5/2022 06:41:37
247,2,685,2/24/2021 02:27:27
184,2,65,8/29/2021 16:32:52
405,3,607,7/25/2020 12:40:36
831,2,598,3/4/2023 05:15:07
534,1,572,10/6/2022 05:53:54
155,2,107,4/5/2021 10:34:23
612,1,435,3/10/2021 01:27:12
288,2,170,7/27/2023 13:59:02
628,2,84,10/18/2023 06:00:46
947,2,578,4/25/2021 09:52:03
264,2,511,3/31/2021 15:35:05
529,2,58,8/27/2021 08:09:52
553,1,990,4/15/2020 22:57:08
722,2,334,5/4/2020 21:54:48
282,3,281,7/28/2021 21:10:59
176,2,968,8/18/2021 03:35:13
847,2,656,5/24/2021 00:02:40
570,1,47,6/6/2022 00:15:05
438,2,200,7/19/2021 04:58:26
28,2,562,6/20/2020 23:49:37
341,1,734,3/17/2022 15:32:12
302,1,544,7/20/2021 03:28:39
160,2,190,1/23/2021 05:55:33
500,2,362,11/18/2020 11:46:57
837,2,456,3/4/2022 15:57:32
105,2,478,5/16/2023 19:42:15
993,2,758,4/30/2023 04:31:12
190,1,712,12/14/2022 06:49:26
344,3,225,10/28/2023 18:31:22
498,1,75,11/28/2020 17:08:42
583,2,586,7/20/2022 10:09:47
423,1,777,12/21/2023 20:38:37
776,1,560,11/29/2022 07:11:48
671,1,806,4/11/2020 02:12:17
259,1,474,5/14/2023 06:30:22
9,3,975,12/21/2022 20:25:49
765,2,83,5/28/2022 20:57:13
501,2,325,4/22/2023 02:24:40
787,1,990,10/23/2023 11:37:43
495,2,788,10/24/2020 07:41:17
778,2,438,11/20/2020 01:36:29
643,3,911,1/24/2023 16:08:13
425,2,646,2/21/2023 10:33:44
618,2,913,8/30/2023 21:06:43
466,2,226,10/28/2021 00:08:23
388,2,550,5/21/2020 17:18:40
189,1,860,10/4/2020 01:58:19
832,2,733,6/25/2020 09:43:52
791,3,929,6/20/2022 17:21:10
778,2,762,8/15/2020 01:18:44
791,1,82,10/2/2020 15:34:32
838,2,747,2/11/2023 22:19:00
718,2,366,1/28/2023 15:00:52
11,1,898,8/5/2020 13:14:08
553,1,661,3/26/2020 01:02:41
487,3,7,4/15/2023 07:01:19
909,1,466,4/16/2023 17:50:18
808,1,172,3/30/2021 09:51:52
771,2,713,6/22/2020 22:01:47
933,2,186,6/20/2020 10:39:34
392,3,46,11/13/2020 08:58:15
896,3,888,4/23/2023 07:13:24
95,3,611,1/12/2021 05:39:43
484,1,646,2/24/2023 19:02:37
191,1,538,5/2/2022 09:38:11
255,2,853,10/5/2020 18:41:09
904,1,779,11/26/2020 02:11:57
807,2,156,10/14/2020 02:17:06
329,1,707,1/25/2022 00:03:36
51,2,903,3/8/2022 19:48:51
273,2,487,4/1/2023 11:31:35
577,1,662,7/10/2020 15:31:43
494,3,22,8/7/2020 18:06:39
758,2,526,10/19/2022 20:28:47
374,2,35,7/15/2022 09:37:45
537,1,40,6/22/2021 13:36:28
745,2,913,11/19/2023 08:57:58
384,2,53,5/26/2021 19:00:27
179,2,150,8/31/2022 05:18:41
26,2,482,1/20/2023 08:46:57
871,1,772,11/30/2023 14:25:29
139,2,211,4/26/2023 18:45:56
480,2,386,11/15/2022 12:30:29
315,2,480,3/8/2023 20:46:50
590,2,249,9/28/2022 23:08:49
315,2,694,10/22/2023 07:32:57
174,2,924,12/27/2020 13:25:48
825,2,851,1/24/2020 21:22:02
307,2,358,4/17/2020 20:23:33
7,2,787,9/15/2023 10:03:30
