SensorID,ManafactureDate,NextMaintenance,LastMaintained,MaintainerID,SensorType
35,2/24/2021 00:11:01,5/12/2034,11/28/2022 10:29:43,94,Zone
36,5/8/2022 07:41:35,7/29/2033,null,92,Zone
37,9/24/2020 20:15:49,7/2/2050,8/9/2022 23:50:14,64,Zone
38,10/9/2022 18:42:09,6/19/2038,null,74,Zone
39,9/13/2020 19:06:49,4/17/2047,8/8/2021 01:01:45,34,Zone
40,11/30/2020 03:31:31,1/22/2048,3/30/2020 02:52:30,86,Zone
41,5/20/2023 11:09:33,10/27/2032,null,55,Zone
42,5/14/2020 16:22:13,3/25/2036,12/13/2022 18:00:35,64,Zone
43,4/23/2022 12:16:18,6/9/2034,null,1,Zone
44,12/19/2021 11:43:58,7/30/2023,4/30/2021 23:15:38,3,Zone
45,4/10/2022 13:20:24,10/25/2025,null,47,Zone
46,11/5/2020 18:44:28,8/14/2035,1/31/2023 00:03:33,31,Zone
47,6/8/2021 12:22:28,5/14/2040,8/29/2022 18:15:25,77,Zone
48,5/28/2020 03:59:58,10/25/2040,2/14/2022 05:07:08,86,Zone
49,3/23/2023 07:36:12,7/25/2029,null,11,Zone
50,7/15/2021 08:52:39,5/10/2028,4/15/2022 07:43:27,38,Zone
51,9/18/2022 13:39:04,4/7/2045,null,60,Zone
52,3/13/2021 00:05:52,8/27/2023,4/8/2021 23:35:41,65,Zone
53,12/10/2020 01:20:34,12/8/2044,null,46,Zone
54,6/23/2020 15:48:09,7/27/2033,12/4/2020 06:17:14,65,Zone
55,9/5/2022 23:44:51,8/21/2023,1/5/2020 20:13:09,81,Zone
56,9/24/2022 10:47:12,2/11/2050,null,10,Zone
57,6/18/2020 08:28:00,11/19/2028,8/2/2021 14:37:27,43,Zone
58,4/13/2022 08:47:06,5/31/2048,1/1/2022 11:37:50,22,Zone
59,6/29/2020 23:51:07,12/29/2026,6/4/2021 04:11:43,57,Zone
60,9/14/2021 22:56:04,2/3/2031,5/3/2023 00:53:24,57,Zone
61,4/11/2020 16:03:43,7/31/2034,null,11,Zone
62,3/20/2022 20:48:25,8/27/2030,null,10,Zone
63,9/20/2020 10:01:49,12/3/2041,null,10,Zone
64,4/17/2020 06:10:20,3/23/2038,null,35,Zone
65,7/7/2022 12:16:20,12/25/2037,2/8/2022 08:01:25,75,Zone
66,1/25/2023 06:36:17,9/29/2030,1/5/2020 08:00:48,83,Zone
67,5/6/2023 14:09:44,2/8/2041,3/22/2023 04:03:21,16,Zone
68,3/8/2022 02:35:10,5/27/2040,5/28/2023 18:17:45,100,Zone
69,9/14/2020 19:04:49,3/12/2041,6/14/2023 07:42:17,55,Zone
70,3/27/2021 02:26:31,8/7/2038,2/14/2022 15:03:20,68,Zone
71,4/28/2020 11:28:20,6/2/2028,11/13/2021 11:17:15,89,Zone
72,10/27/2020 09:53:00,11/1/2048,null,96,Zone
73,8/10/2021 12:30:07,8/20/2042,12/8/2021 08:38:24,74,Zone
74,3/3/2022 10:37:44,3/6/2026,1/26/2023 08:14:50,42,Zone
75,10/30/2020 01:20:33,12/16/2036,null,81,Zone
76,3/7/2022 20:20:48,12/26/2042,null,59,Zone
77,3/31/2022 10:07:46,12/12/2026,null,93,Subscriber
78,3/18/2023 21:21:55,9/9/2046,7/6/2020 08:27:22,97,Subscriber
79,3/16/2020 04:36:53,6/22/2045,null,38,Zone
80,4/20/2023 06:07:08,8/11/2032,7/22/2020 07:38:17,4,Zone
81,4/8/2023 04:25:22,3/1/2026,null,66,Zone
82,11/17/2020 13:31:28,12/7/2039,5/1/2022 15:52:34,43,Zone
83,2/3/2023 04:42:31,6/27/2045,3/9/2022 15:30:04,90,Zone
84,1/15/2021 13:34:43,10/31/2044,null,13,Subscriber
85,5/29/2021 22:31:06,9/26/2024,10/19/2020 04:58:55,83,Zone
86,2/4/2020 20:17:28,6/28/2048,12/22/2021 15:17:43,36,Zone
87,9/26/2021 20:56:05,2/7/2045,3/5/2023 07:15:34,16,Zone
88,1/29/2020 11:50:51,4/3/2045,null,67,Zone
89,10/15/2020 22:47:40,7/31/2024,null,84,Zone
90,7/6/2022 14:32:25,5/23/2034,12/20/2022 09:11:36,94,Zone
91,8/19/2021 08:34:03,8/1/2032,3/1/2023 14:02:30,78,Zone
92,9/18/2021 02:27:31,6/16/2033,2/1/2022 05:57:46,47,Zone
93,10/26/2020 18:30:44,10/8/2049,null,42,Zone
94,2/2/2023 23:41:06,4/30/2025,null,43,Zone
95,4/3/2022 15:19:18,7/24/2026,7/1/2022 11:55:23,23,Zone
96,9/17/2022 01:38:19,9/3/2027,6/12/2021 04:01:18,13,Zone
97,5/27/2023 14:00:25,10/15/2024,4/18/2023 20:18:27,28,Zone
98,1/18/2023 04:00:15,3/10/2046,null,36,Zone
99,5/1/2023 03:58:43,6/27/2023,8/20/2020 18:40:35,9,Zone
100,9/13/2022 07:08:11,3/20/2030,7/8/2022 19:26:42,45,Zone
101,5/12/2021 22:31:40,11/21/2048,7/4/2022 15:38:28,97,Zone
102,2/24/2021 19:50:10,9/27/2038,9/18/2020 17:06:16,95,Zone
103,7/24/2020 01:11:23,3/23/2036,3/23/2021 21:17:18,37,Zone
104,4/17/2021 09:39:46,10/23/2045,6/14/2021 10:06:05,65,Zone
105,4/13/2021 19:09:12,6/27/2049,8/30/2020 19:51:07,27,Zone
106,6/16/2021 08:36:47,1/4/2025,null,97,Zone
107,9/12/2021 03:56:43,2/27/2026,3/21/2020 21:48:19,84,Zone
108,11/30/2022 11:06:43,2/1/2026,5/20/2021 05:04:31,91,Zone
109,11/23/2021 18:16:52,12/17/2042,null,75,Zone
110,9/28/2020 22:54:47,10/28/2030,null,38,Zone
111,10/21/2022 19:39:36,9/7/2044,null,13,Subscriber
112,3/16/2020 14:47:41,12/24/2047,1/1/2021 11:42:41,44,Zone
113,7/3/2021 02:53:52,10/8/2037,null,79,Zone
114,3/29/2022 13:14:03,11/8/2026,null,55,Zone
115,1/12/2021 04:48:44,8/26/2040,2/28/2022 00:05:53,42,Zone
116,4/10/2020 13:37:58,4/12/2032,10/26/2021 02:03:47,19,Zone
117,5/12/2021 21:48:36,7/2/2026,null,66,Zone
118,10/19/2022 04:03:32,1/29/2042,7/31/2021 00:55:55,16,Zone
119,3/24/2023 02:15:21,9/19/2032,null,44,Zone
120,1/24/2021 16:53:26,1/19/2042,2/22/2022 11:28:28,47,Zone
121,8/20/2020 20:34:59,5/27/2047,2/10/2023 15:21:54,50,Zone
122,5/13/2023 18:49:26,8/18/2025,7/2/2022 06:19:48,52,Zone
123,6/30/2021 23:55:24,7/31/2050,9/29/2020 18:49:04,8,Zone
124,3/19/2022 04:48:34,1/25/2038,5/6/2022 11:16:23,81,Zone
125,9/25/2020 16:20:40,8/10/2046,12/15/2020 05:54:09,40,Zone
126,4/20/2023 13:31:45,10/18/2031,2/22/2022 15:12:43,70,Zone
127,7/11/2020 00:19:39,5/6/2032,1/31/2022 14:48:32,12,Zone
128,3/6/2020 05:19:34,5/10/2049,4/17/2023 21:58:50,17,Zone
129,6/20/2020 19:56:04,8/23/2036,2/14/2023 06:29:57,43,Zone
130,6/9/2022 02:21:03,8/22/2041,4/20/2020 06:31:41,21,Zone
131,8/13/2022 23:00:01,8/19/2031,1/27/2023 03:48:23,23,Subscriber
132,7/26/2021 21:20:44,7/8/2045,null,92,Zone
133,5/15/2021 10:22:14,2/22/2043,8/20/2021 14:32:20,48,Zone
134,3/11/2022 06:25:17,11/27/2029,null,42,Zone
135,11/14/2020 08:50:08,6/30/2048,4/25/2022 20:31:07,29,Subscriber
136,4/27/2020 02:47:42,8/14/2046,10/20/2021 12:52:02,23,Zone
137,11/3/2021 22:31:39,12/27/2043,3/19/2021 02:43:30,25,Zone
138,10/12/2022 04:38:47,11/18/2038,1/20/2023 05:22:15,7,Zone
139,5/2/2022 15:04:04,3/1/2024,null,44,Zone
140,8/12/2022 16:06:59,8/3/2034,1/12/2023 20:17:41,35,Subscriber
141,7/30/2021 15:00:55,11/6/2026,10/3/2021 20:12:10,72,Zone
142,12/15/2022 22:04:18,12/26/2048,null,67,Zone
143,4/16/2023 16:03:54,11/6/2032,null,50,Subscriber
144,11/29/2022 00:12:36,5/8/2043,null,29,Zone
145,2/4/2021 20:15:30,11/13/2037,12/21/2020 04:42:58,70,Zone
146,3/18/2022 01:58:06,8/14/2035,5/26/2020 18:32:04,36,Zone
147,11/11/2020 01:26:23,8/29/2050,2/12/2023 10:49:34,12,Zone
148,3/29/2020 00:14:54,10/3/2045,12/13/2020 09:40:11,54,Zone
149,4/23/2022 11:06:48,3/13/2042,2/11/2020 21:47:26,78,Zone
150,8/15/2020 10:20:25,12/12/2045,7/17/2022 16:53:22,82,Zone
151,7/20/2021 02:34:39,7/14/2036,7/7/2020 17:40:30,27,Zone
152,9/16/2022 08:05:45,11/9/2023,null,31,Zone
153,3/10/2023 01:41:15,3/13/2034,10/28/2020 15:47:56,78,Zone
154,3/23/2020 14:03:35,6/1/2041,null,46,Zone
155,3/14/2022 23:35:20,6/13/2038,null,50,Zone
156,12/15/2021 08:11:13,12/24/2039,2/23/2021 04:38:57,15,Zone
157,5/7/2023 01:10:34,8/31/2045,3/16/2021 04:48:07,17,Zone
158,1/4/2021 15:45:08,9/25/2039,8/5/2020 05:08:58,27,Zone
159,1/2/2023 15:16:04,5/10/2024,null,61,Subscriber
160,8/2/2022 16:42:25,8/17/2031,9/29/2022 03:19:32,32,Zone
161,1/16/2023 14:31:38,8/8/2048,8/8/2020 05:06:36,32,Zone
162,7/26/2022 05:14:12,1/7/2031,8/28/2022 03:20:36,45,Zone
163,2/5/2020 08:42:43,1/6/2025,9/11/2021 16:18:18,85,Subscriber
164,3/16/2022 02:02:24,7/13/2050,10/25/2021 16:43:02,64,Zone
165,10/22/2021 11:01:17,1/10/2033,11/7/2022 10:45:25,39,Zone
166,2/9/2022 19:23:16,10/8/2029,11/2/2021 23:07:47,74,Zone
167,5/22/2021 17:36:45,1/16/2041,null,17,Subscriber
168,10/6/2021 08:14:26,1/14/2024,9/13/2022 08:39:50,94,Zone
169,2/8/2023 00:06:25,8/22/2026,7/19/2020 16:36:59,10,Zone
170,12/13/2021 19:38:26,7/19/2048,7/5/2022 18:05:06,2,Zone
171,5/5/2022 04:08:04,9/26/2024,1/14/2020 18:46:28,30,Zone
172,12/20/2020 12:36:57,9/15/2040,null,98,Zone
173,9/17/2021 17:38:21,10/26/2025,null,49,Zone
174,1/25/2020 01:45:24,8/9/2031,2/7/2020 09:12:59,18,Subscriber
175,4/11/2023 07:51:19,12/30/2050,null,43,Zone
176,7/5/2020 18:15:40,5/29/2032,3/21/2020 15:01:13,18,Zone
177,8/8/2020 06:55:03,5/29/2048,1/21/2020 23:50:30,93,Zone
178,4/5/2020 23:23:30,3/11/2030,12/24/2020 15:41:29,84,Zone
179,3/7/2021 21:43:26,4/26/2024,4/15/2021 19:36:04,31,Zone
180,7/30/2022 14:33:11,11/18/2041,8/22/2021 06:42:11,26,Zone
181,2/20/2021 06:56:03,4/15/2029,2/25/2022 15:26:17,63,Zone
182,4/22/2020 11:07:17,12/16/2036,8/18/2022 02:00:16,70,Zone
183,6/1/2022 13:45:25,2/15/2040,6/7/2020 20:57:33,69,Zone
184,2/14/2021 06:29:38,1/3/2030,null,50,Zone
185,2/14/2023 07:25:06,5/23/2028,11/24/2021 19:40:56,91,Zone
186,9/22/2022 07:23:25,5/27/2038,10/23/2020 17:13:45,77,Zone
187,8/10/2022 01:22:27,11/28/2027,1/14/2021 21:50:21,81,Zone
188,10/9/2022 03:03:36,10/12/2050,8/17/2020 16:21:20,75,Zone
189,3/2/2020 13:32:04,1/7/2043,null,38,Zone
190,12/23/2020 21:19:15,11/27/2026,null,31,Zone
191,1/8/2023 02:37:05,11/15/2043,2/5/2021 13:32:53,59,Zone
192,3/4/2020 00:04:22,10/31/2045,null,44,Zone
193,10/15/2020 23:10:56,2/17/2039,11/16/2022 02:26:33,68,Zone
194,11/14/2021 13:17:51,4/6/2040,2/18/2021 05:40:42,3,Zone
195,11/12/2020 04:33:11,7/3/2023,10/30/2020 04:48:27,96,Zone
196,1/27/2021 07:08:51,3/31/2026,null,57,Zone
197,3/15/2023 02:15:40,3/24/2042,null,77,Zone
198,3/1/2022 01:07:52,2/12/2030,2/18/2022 04:42:30,14,Zone
199,2/9/2023 09:14:17,7/30/2028,1/16/2023 07:48:26,37,Zone
200,3/31/2021 02:19:16,2/17/2041,2/3/2022 09:03:53,63,Zone
201,12/17/2020 04:50:13,10/8/2034,null,10,Zone
202,6/26/2021 16:11:01,10/7/2026,3/10/2022 13:02:10,36,Zone
203,2/28/2023 07:57:00,1/14/2046,7/17/2022 15:51:43,59,Zone
204,5/2/2022 07:38:23,10/24/2025,5/3/2022 10:11:34,45,Zone
205,8/26/2020 11:40:41,9/7/2029,11/13/2022 06:43:02,85,Zone
206,7/9/2020 17:23:37,12/22/2045,1/8/2023 12:30:31,51,Zone
207,8/4/2020 10:59:49,11/25/2027,2/7/2020 15:11:42,92,Subscriber
208,11/18/2020 16:46:59,9/28/2035,2/12/2023 02:11:15,22,Zone
209,3/12/2021 03:26:09,3/6/2043,9/24/2022 23:35:11,96,Zone
210,1/7/2020 23:21:33,7/26/2042,1/16/2023 13:06:14,52,Zone
211,10/9/2020 00:34:33,4/14/2050,10/6/2020 15:44:26,29,Subscriber
212,5/25/2023 09:19:49,9/24/2028,5/3/2021 18:42:26,37,Zone
213,8/21/2020 05:59:49,4/9/2047,null,86,Zone
214,8/24/2021 22:44:15,5/12/2037,11/6/2020 20:29:41,62,Zone
215,9/14/2020 10:05:05,8/31/2030,11/3/2022 05:03:40,95,Zone
216,4/23/2021 10:32:24,5/24/2030,5/4/2022 17:00:12,75,Zone
217,11/23/2021 00:58:59,9/12/2026,null,69,Zone
218,12/2/2021 20:42:18,12/3/2046,10/10/2022 10:08:51,18,Subscriber
219,10/14/2020 13:02:23,2/22/2031,5/2/2020 23:42:21,65,Zone
220,9/3/2021 00:15:26,10/17/2041,null,50,Zone
221,1/3/2021 16:46:20,12/18/2026,7/16/2021 02:37:34,23,Zone
222,10/31/2021 19:08:50,3/6/2038,null,69,Zone
223,6/5/2022 19:44:56,4/1/2029,11/30/2022 02:50:30,55,Zone
224,10/18/2020 11:14:37,5/24/2037,3/27/2021 15:58:48,87,Zone
225,5/29/2023 20:57:49,4/11/2027,10/29/2022 20:14:20,48,Zone
226,6/25/2021 09:49:19,2/12/2039,null,82,Zone
227,7/22/2022 03:43:14,12/25/2035,null,14,Subscriber
228,1/8/2023 10:41:47,5/12/2049,3/28/2021 08:03:25,83,Subscriber
229,4/28/2020 13:05:55,2/6/2042,null,74,Zone
230,11/20/2022 03:30:55,8/16/2047,null,11,Zone
231,6/4/2022 15:06:40,2/13/2027,1/31/2021 13:17:23,89,Zone
232,3/8/2022 03:00:09,6/29/2024,11/1/2022 12:22:35,39,Zone
233,11/9/2022 16:33:07,10/7/2038,5/12/2021 10:07:27,79,Zone
234,3/4/2021 19:04:27,12/30/2048,1/29/2023 13:27:02,11,Zone
235,6/27/2020 03:28:35,2/15/2050,8/23/2020 13:02:50,54,Subscriber
236,4/30/2020 00:45:32,6/22/2032,2/13/2023 01:14:49,37,Zone
237,11/15/2020 18:21:04,8/16/2032,7/27/2020 07:07:40,11,Zone
238,11/15/2020 02:09:35,3/27/2024,4/29/2022 22:43:19,60,Zone
239,5/22/2020 14:12:20,8/30/2023,null,60,Subscriber
240,3/13/2020 09:36:38,7/7/2040,null,53,Zone
241,4/10/2023 19:19:05,11/21/2043,null,16,Zone
242,5/18/2021 05:33:18,6/18/2031,null,27,Zone
243,1/20/2020 07:48:36,6/13/2048,3/4/2021 17:52:58,79,Zone
244,4/1/2023 10:33:40,9/17/2031,5/21/2023 20:53:35,40,Subscriber
245,4/25/2021 12:33:12,10/27/2039,3/9/2020 18:29:54,22,Zone
246,8/17/2020 00:27:43,11/1/2047,10/23/2021 13:51:08,12,Zone
247,3/3/2023 15:54:45,10/13/2038,10/19/2021 19:19:55,21,Zone
248,5/22/2023 23:29:18,1/15/2049,12/24/2022 21:14:24,73,Subscriber
249,9/22/2020 22:37:29,6/11/2049,8/27/2021 09:01:25,16,Zone
250,8/17/2022 13:52:01,4/10/2044,9/10/2020 15:40:25,39,Zone
251,2/15/2023 05:36:04,6/10/2042,12/25/2022 13:44:12,28,Zone
252,9/24/2020 02:55:23,2/1/2031,10/9/2022 08:35:29,35,Zone
253,9/5/2020 10:37:32,6/3/2050,1/8/2020 23:46:51,38,Zone
254,10/24/2020 10:33:34,4/14/2037,2/24/2023 16:08:29,39,Zone
255,10/10/2021 11:05:35,11/30/2050,1/12/2020 08:29:20,91,Zone
256,11/7/2020 02:40:20,12/20/2043,12/19/2021 02:08:16,28,Zone
257,9/20/2022 13:37:15,12/6/2044,7/14/2021 04:22:58,98,Subscriber
258,7/23/2020 18:48:37,1/24/2032,4/28/2021 13:33:02,20,Zone
259,11/28/2020 21:30:52,10/19/2047,2/7/2023 06:13:34,89,Zone
260,4/13/2021 02:30:08,11/24/2047,null,66,Zone
261,1/30/2020 04:00:18,5/2/2026,1/6/2022 20:56:03,49,Zone
262,3/29/2023 21:01:08,2/16/2032,9/19/2020 20:27:43,12,Zone
263,4/3/2023 09:49:02,5/12/2046,null,68,Zone
264,1/7/2020 09:18:22,2/28/2027,3/26/2021 17:32:26,57,Zone
265,9/23/2022 20:17:56,11/9/2036,1/11/2020 23:39:17,40,Zone
266,7/1/2022 19:09:18,12/11/2041,null,97,Zone
267,3/13/2023 14:19:33,9/4/2042,null,71,Subscriber
268,4/27/2023 03:54:07,11/12/2023,null,12,Zone
269,6/6/2022 12:16:07,10/25/2042,2/5/2020 10:06:18,53,Zone
270,11/5/2021 07:50:44,7/13/2029,1/25/2020 16:04:25,45,Zone
271,12/26/2020 22:52:44,3/13/2027,1/3/2022 09:51:04,70,Zone
272,8/30/2022 04:42:43,7/4/2026,null,83,Zone
273,5/31/2022 18:35:43,9/5/2038,2/8/2022 12:07:58,64,Zone
274,2/19/2022 11:48:18,11/1/2027,12/30/2021 04:34:34,93,Zone
275,12/29/2022 18:09:58,11/6/2031,5/17/2020 10:54:10,2,Zone
276,6/21/2020 00:22:17,8/11/2035,3/9/2023 13:26:29,82,Zone
277,8/19/2022 02:13:00,7/22/2025,5/9/2020 12:34:33,64,Zone
278,4/28/2020 23:40:26,7/26/2023,4/25/2022 11:00:55,4,Zone
279,1/16/2020 08:05:23,6/7/2047,2/6/2022 10:28:34,37,Zone
280,10/10/2021 06:54:50,10/22/2041,3/12/2022 05:57:53,52,Zone
281,5/29/2020 09:02:03,1/23/2033,null,74,Zone
282,7/20/2021 11:15:41,8/13/2027,12/12/2022 03:41:56,61,Zone
283,1/29/2022 22:06:05,11/12/2035,null,44,Zone
284,11/11/2021 05:23:04,3/15/2050,null,81,Zone
285,5/2/2021 17:45:59,11/26/2034,null,7,Zone
286,5/11/2022 18:33:40,11/23/2048,12/27/2020 06:48:09,66,Zone
287,1/9/2020 22:47:11,6/22/2047,null,53,Zone
288,4/22/2020 07:15:16,5/20/2033,null,16,Zone
289,2/1/2023 01:03:35,11/27/2046,8/29/2020 21:22:58,94,Zone
290,11/22/2021 11:15:26,12/19/2038,12/31/2022 17:17:37,4,Zone
291,1/26/2023 11:41:01,4/9/2032,null,28,Zone
292,2/1/2021 16:32:38,10/5/2048,null,19,Zone
293,5/14/2023 21:14:47,10/14/2035,null,34,Zone
294,5/24/2021 17:20:33,1/23/2041,7/20/2022 23:44:05,69,Zone
295,2/4/2022 11:14:12,4/18/2025,6/5/2023 05:49:00,19,Zone
296,4/20/2023 11:30:27,4/28/2047,3/11/2021 07:32:04,79,Subscriber
297,12/2/2022 15:04:44,3/9/2030,10/12/2022 14:54:58,18,Zone
298,11/1/2022 04:37:26,1/21/2040,2/11/2021 10:57:17,6,Zone
299,3/13/2022 17:59:00,3/26/2047,6/28/2022 07:39:54,68,Subscriber
300,5/11/2023 10:18:03,8/7/2039,3/5/2020 08:59:22,42,Zone
301,1/7/2022 08:28:20,11/12/2045,null,2,Subscriber
302,4/21/2021 02:18:52,11/25/2045,6/29/2021 17:05:31,25,Zone
303,10/6/2021 08:33:51,2/27/2041,1/29/2020 03:10:10,5,Subscriber
304,10/6/2021 14:23:57,2/17/2048,null,71,Zone
305,3/25/2022 10:32:58,6/19/2048,null,97,Zone
306,9/13/2020 20:33:04,6/14/2040,6/5/2023 14:55:20,56,Zone
307,3/11/2023 07:08:01,6/25/2040,8/7/2020 03:43:23,96,Zone
308,1/4/2020 15:10:18,12/13/2027,12/8/2021 15:14:16,13,Zone
309,2/8/2022 17:39:44,8/13/2025,12/19/2022 18:22:42,15,Zone
310,3/27/2023 08:00:02,10/24/2049,12/18/2021 07:44:04,48,Zone
311,12/12/2022 14:38:37,3/7/2042,10/5/2020 08:56:53,60,Subscriber
312,10/23/2020 18:38:24,2/3/2026,4/14/2022 07:06:56,78,Zone
313,8/14/2022 02:24:28,11/12/2026,2/16/2021 20:58:09,43,Zone
314,9/19/2020 08:28:34,12/5/2043,9/13/2020 14:30:05,2,Zone
315,3/26/2023 00:04:22,7/9/2029,5/18/2020 21:15:50,5,Zone
316,11/18/2020 05:14:21,1/17/2032,8/10/2021 13:25:09,81,Zone
317,10/12/2020 17:18:06,2/26/2047,null,24,Zone
318,3/4/2020 09:38:23,6/9/2039,null,13,Zone
319,4/18/2022 17:33:12,9/22/2039,null,23,Subscriber
320,6/24/2022 05:07:15,6/11/2037,6/27/2022 12:14:59,48,Zone
321,1/26/2023 01:33:30,11/20/2042,7/13/2022 13:30:02,100,Zone
322,12/23/2022 06:46:55,6/15/2047,3/31/2021 12:21:50,90,Subscriber
323,5/20/2020 07:53:14,11/27/2041,null,47,Zone
324,6/24/2022 06:23:40,6/26/2049,1/9/2020 17:49:31,81,Zone
325,9/1/2022 17:48:48,10/22/2039,10/5/2022 19:13:46,34,Zone
326,8/12/2021 03:09:29,4/20/2038,6/24/2021 22:45:33,9,Subscriber
327,6/12/2020 16:54:11,2/10/2044,1/16/2023 02:11:20,7,Zone
328,6/22/2022 13:17:05,5/27/2029,2/4/2021 17:25:23,61,Subscriber
329,10/28/2021 13:54:43,12/28/2038,8/30/2020 02:50:44,39,Zone
330,11/6/2020 13:13:54,2/17/2035,9/28/2022 20:04:18,49,Subscriber
331,5/30/2020 09:59:38,8/17/2032,null,97,Zone
332,1/6/2022 21:38:26,11/16/2026,11/15/2022 15:22:04,48,Zone
333,11/9/2020 09:49:42,5/22/2045,null,77,Zone
334,4/1/2023 15:45:22,9/10/2042,1/17/2022 17:48:47,43,Zone
335,12/21/2021 23:09:30,12/14/2044,4/14/2022 09:11:50,44,Zone
336,6/9/2023 20:23:40,9/13/2035,5/28/2021 04:58:49,35,Zone
337,2/27/2023 09:37:52,2/15/2048,null,99,Zone
338,10/29/2021 07:39:36,2/14/2033,null,59,Zone
339,1/7/2020 19:17:20,6/8/2046,null,13,Zone
340,9/7/2021 01:23:23,2/27/2045,null,96,Zone
341,1/21/2022 09:37:38,5/6/2044,3/6/2023 06:56:17,47,Subscriber
342,7/9/2020 02:02:17,7/5/2049,6/14/2023 06:15:25,74,Zone
343,2/10/2021 22:51:46,5/17/2037,2/6/2023 21:51:06,20,Zone
344,10/15/2021 21:38:46,3/8/2041,null,56,Zone
345,7/15/2021 09:49:51,11/5/2034,8/23/2022 18:26:56,70,Zone
346,5/19/2020 05:09:47,12/16/2046,5/4/2023 09:27:54,83,Zone
347,10/19/2022 03:28:24,4/10/2049,null,93,Subscriber
348,5/21/2022 20:02:23,2/8/2031,9/6/2022 01:35:45,55,Zone
349,1/6/2023 18:07:21,8/3/2050,5/19/2020 06:33:24,27,Zone
350,1/16/2023 17:11:46,7/7/2031,null,41,Zone
351,10/26/2022 12:38:18,4/9/2032,7/31/2020 20:50:16,73,Zone
352,1/30/2023 22:47:09,4/23/2028,6/13/2022 18:40:31,45,Subscriber
353,10/9/2021 02:42:21,3/25/2039,6/19/2021 15:49:35,55,Zone
354,3/14/2022 13:09:20,12/5/2026,5/25/2023 17:05:22,93,Zone
355,2/3/2021 16:29:22,11/3/2044,1/22/2023 19:15:54,24,Zone
356,2/25/2021 09:35:07,7/5/2035,4/13/2020 19:55:45,37,Zone
357,1/3/2021 00:34:12,1/7/2043,null,4,Zone
358,4/3/2020 23:30:59,3/2/2041,4/23/2020 00:16:06,91,Zone
359,8/1/2022 11:02:05,11/26/2049,4/29/2021 04:33:42,82,Zone
360,1/23/2022 05:13:08,5/14/2040,null,51,Zone
361,4/20/2022 04:28:43,2/8/2036,12/6/2021 17:42:31,40,Zone
362,9/9/2021 22:18:10,7/22/2030,null,63,Zone
363,12/30/2020 14:19:48,10/29/2029,11/3/2021 06:55:49,88,Zone
364,5/23/2021 02:16:37,5/9/2045,8/25/2021 20:21:44,49,Zone
365,9/23/2022 14:33:58,2/2/2046,12/20/2020 02:14:21,68,Zone
366,10/9/2021 10:07:50,12/16/2049,2/1/2022 12:38:08,69,Zone
367,11/19/2020 11:26:58,12/31/2040,8/11/2020 04:53:53,24,Zone
