DataID,OwnerID,ZoneID,SensorID,CreationTime
81,571,135,912,5/21/2021 04:55:12
82,714,349,478,10/19/2021 04:41:56
83,253,10,328,9/4/2021 12:35:28
84,655,305,756,10/14/2022 04:11:32
85,970,224,221,10/7/2021 22:11:40
86,915,435,98,3/7/2023 22:11:50
87,536,17,19,10/9/2020 03:50:24
88,13,420,859,2/1/2023 07:09:09
89,176,435,51,1/27/2021 23:37:41
90,481,203,921,9/14/2021 02:47:33
91,718,199,179,3/24/2021 22:47:49
92,697,329,990,4/8/2022 13:11:14
93,622,305,988,8/15/2021 22:18:45
94,550,69,640,8/27/2021 13:28:19
95,761,305,488,5/16/2021 21:47:57
96,36,325,582,4/7/2020 15:41:28
97,995,70,680,5/12/2021 06:51:08
98,53,430,814,6/11/2022 06:16:28
99,339,370,697,4/24/2021 20:59:52
100,653,172,594,9/5/2020 11:27:46
101,155,410,264,8/24/2022 15:21:18
102,44,107,996,9/4/2020 03:14:54
103,314,369,50,12/7/2021 20:00:08
104,914,214,284,10/26/2021 16:49:07
105,188,137,233,1/21/2022 00:34:31
106,226,156,857,6/1/2023 14:35:06
107,905,14,124,11/24/2022 00:51:35
108,395,393,609,9/10/2021 22:18:11
109,819,160,138,4/23/2023 06:22:13
110,100,274,683,3/24/2021 23:04:58
111,315,237,263,8/11/2021 06:24:07
112,132,360,972,5/25/2023 23:15:54
113,874,117,166,2/15/2022 02:33:36
114,690,189,832,8/30/2020 00:57:58
115,891,199,475,12/25/2022 17:43:08
116,119,169,420,8/18/2020 21:11:02
117,372,394,602,9/29/2020 20:38:06
118,421,302,237,6/18/2022 19:46:31
119,191,498,450,4/2/2022 17:44:52
120,986,61,759,11/7/2020 04:18:09
121,728,380,981,11/4/2020 12:31:10
122,532,338,484,10/9/2021 04:21:37
123,907,110,96,9/28/2020 13:43:31
124,573,270,187,5/2/2022 19:04:04
125,303,26,252,6/16/2020 19:15:12
126,562,429,569,10/9/2021 11:52:25
127,755,95,90,1/11/2021 05:24:45
128,973,333,355,3/16/2023 01:50:59
129,877,227,307,1/24/2021 13:08:15
130,46,38,75,4/16/2023 23:50:01
131,608,166,7,9/25/2021 17:47:29
132,309,308,673,10/3/2022 23:21:24
133,448,330,557,5/26/2021 07:33:34
134,113,417,27,1/14/2020 15:55:35
135,384,197,943,4/25/2022 15:29:02
136,219,190,612,4/16/2023 15:08:21
137,328,315,607,6/8/2020 13:42:07
138,879,336,38,5/8/2022 02:42:03
139,694,127,624,12/5/2021 23:05:36
140,957,250,362,3/18/2020 03:10:44
141,908,409,205,1/5/2022 05:29:39
142,119,314,984,9/15/2022 10:02:03
143,13,43,81,9/23/2022 01:42:34
144,207,497,824,10/22/2021 20:27:58
145,505,388,346,12/31/2021 02:09:30
146,528,286,516,4/12/2022 13:34:37
147,955,451,2,5/9/2020 09:58:44
148,102,76,757,12/7/2022 13:12:01
149,926,138,178,3/24/2020 02:34:25
150,722,6,315,10/14/2020 12:30:12
151,651,143,698,11/18/2022 00:10:13
152,792,335,845,7/6/2020 16:23:18
153,347,268,973,12/9/2020 19:27:15
154,38,276,964,4/18/2023 02:19:17
155,118,210,607,2/21/2020 02:24:34
156,202,137,934,3/1/2022 14:17:10
157,873,59,335,1/27/2023 02:14:04
158,486,157,527,5/8/2022 12:03:22
159,382,194,99,6/27/2020 05:43:29
160,957,99,479,8/28/2021 13:03:59
161,88,183,699,2/2/2023 03:01:46
162,822,231,433,3/19/2022 12:48:23
163,113,96,155,5/10/2020 17:27:52
164,171,171,140,3/14/2022 21:25:31
165,419,72,329,1/25/2023 21:52:46
166,502,388,27,5/15/2020 23:45:08
167,60,159,130,4/13/2023 00:11:55
168,42,253,999,11/29/2022 12:50:07
169,161,448,721,1/3/2023 16:00:08
170,442,395,291,1/3/2021 08:18:55
171,827,403,940,2/15/2023 13:43:28
172,620,312,380,3/14/2023 03:57:49
173,476,309,549,5/20/2021 02:52:00
174,985,271,547,7/1/2021 20:17:57
175,565,16,377,5/17/2023 09:18:20
176,671,13,641,9/28/2022 22:05:37
177,885,134,506,4/11/2022 13:00:43
178,645,467,712,11/13/2021 13:13:44
179,404,378,321,3/7/2020 10:23:34
180,1000,11,729,11/11/2022 02:36:08
181,77,307,698,1/5/2023 19:11:41
182,489,68,817,4/14/2021 05:03:21
183,304,21,668,10/24/2021 01:40:12
184,660,66,719,12/4/2022 03:36:36
185,554,27,774,1/27/2023 22:44:44
186,75,168,393,3/15/2023 04:22:11
187,404,425,720,2/6/2020 21:23:28
188,614,115,711,7/9/2021 15:29:35
189,600,315,944,12/5/2021 16:41:31
190,415,381,197,5/6/2023 21:01:56
191,423,325,792,3/7/2022 07:13:31
192,745,298,346,2/17/2020 05:00:34
193,51,22,827,8/31/2020 19:12:31
194,101,173,510,11/10/2022 14:09:37
195,324,242,902,5/14/2022 04:55:44
196,754,68,427,11/20/2020 14:56:08
197,668,325,709,11/28/2020 19:05:57
198,49,326,913,8/27/2022 17:43:54
199,768,221,996,7/21/2022 07:23:07
200,836,46,139,6/8/2020 20:25:58
201,955,392,424,5/31/2021 13:22:54
202,161,427,983,6/10/2023 16:30:12
203,396,175,193,2/8/2020 02:39:02
204,131,124,537,8/8/2022 11:37:52
205,876,486,982,9/22/2022 11:16:41
206,732,55,918,2/22/2021 03:41:54
207,529,79,910,3/11/2022 02:24:10
208,674,467,858,5/17/2022 06:19:18
209,226,70,532,9/3/2020 16:10:46
210,857,22,678,7/25/2020 02:32:02
211,955,52,727,10/8/2022 16:38:33
212,80,401,735,6/3/2023 15:56:48
213,492,334,322,1/18/2022 02:14:54
214,962,235,916,4/26/2022 04:01:01
215,323,50,985,10/12/2022 10:59:31
216,511,243,753,6/8/2023 18:45:11
217,162,8,987,3/9/2023 22:48:39
218,635,34,144,10/23/2022 01:09:49
219,920,100,115,3/14/2020 08:01:30
220,353,42,341,10/16/2020 02:43:08
221,266,396,3,9/28/2020 02:57:34
222,291,391,234,8/30/2020 16:53:06
223,233,149,494,3/27/2022 14:03:27
224,138,118,995,4/3/2020 20:53:35
225,991,73,661,6/5/2023 18:14:40
226,105,169,888,10/13/2020 15:03:47
227,347,451,955,2/6/2023 03:00:01
228,337,30,945,3/28/2020 20:55:41
229,12,273,257,10/24/2022 18:31:40
230,546,298,850,11/19/2020 14:57:16
231,51,39,130,8/22/2021 23:26:00
232,372,435,566,1/20/2022 07:19:01
233,250,200,767,2/8/2023 19:10:40
234,703,411,646,1/3/2023 05:26:29
235,900,52,978,2/13/2020 11:44:54
236,218,466,181,3/26/2023 20:34:24
237,506,258,419,3/24/2023 22:27:31
238,137,324,612,8/16/2020 14:14:54
239,367,344,618,8/6/2020 04:15:15
240,727,284,626,1/4/2022 10:06:46
241,740,5,222,7/21/2021 20:39:25
242,917,282,55,4/24/2021 05:10:13
243,484,171,304,10/23/2022 00:31:16
244,325,35,922,11/24/2022 02:42:53
245,628,94,712,5/8/2022 11:45:40
246,999,73,314,5/10/2023 04:24:27
247,318,136,496,1/24/2020 12:04:49
248,183,131,465,7/7/2020 15:50:36
249,476,242,990,11/26/2020 12:54:22
250,137,364,840,1/12/2022 21:29:45
251,909,377,27,8/9/2021 15:03:53
252,173,153,836,12/24/2022 04:31:45
253,586,99,192,7/28/2022 19:58:25
254,821,354,969,4/28/2023 18:06:26
255,217,371,718,10/19/2020 13:35:11
256,800,434,858,2/7/2021 18:58:09
257,252,72,967,4/13/2022 07:21:31
258,228,131,21,5/14/2022 12:18:43
259,578,454,440,12/26/2021 14:55:16
260,737,135,917,7/1/2022 04:32:36
261,743,337,693,2/8/2022 03:18:08
262,672,235,413,5/27/2020 21:08:56
263,915,298,618,2/14/2020 22:11:34
264,185,263,135,1/31/2023 13:55:01
265,805,157,202,12/3/2022 21:33:28
266,642,362,76,4/3/2022 10:57:21
267,92,70,687,10/22/2022 08:08:59
268,241,454,232,2/24/2020 03:45:45
269,488,24,997,2/14/2020 02:25:50
270,175,211,310,4/7/2022 01:59:23
271,640,372,931,1/31/2020 03:14:55
272,636,305,25,4/28/2021 19:02:18
273,475,76,729,6/16/2020 03:31:04
274,117,213,960,11/4/2021 17:10:27
275,7,475,3,3/31/2023 11:02:38
276,338,455,242,12/22/2021 13:26:31
277,775,89,578,1/5/2020 23:03:19
278,840,324,974,10/1/2020 12:19:29
279,766,260,154,11/1/2020 07:27:23
280,728,141,855,1/14/2020 07:04:13
281,739,231,466,8/31/2022 14:03:19
282,350,481,568,2/5/2021 16:42:38
283,445,303,54,8/17/2021 12:20:03
284,861,197,390,3/30/2021 17:00:39
285,42,329,129,10/2/2021 17:04:07
286,157,89,467,12/3/2021 11:15:23
287,488,392,65,4/9/2023 19:36:46
288,888,303,709,4/7/2020 02:47:03
289,715,285,655,1/28/2020 04:26:16
290,402,321,158,6/25/2020 09:47:25
291,514,46,978,2/11/2022 15:45:15
292,720,82,406,1/13/2021 15:35:16
293,769,206,32,7/5/2022 12:48:45
294,669,244,9,5/8/2022 23:53:05
295,383,150,315,5/22/2022 11:14:56
296,600,411,82,6/9/2022 01:34:12
297,661,461,404,10/29/2022 06:12:03
298,882,296,108,2/26/2020 17:57:35
299,631,126,518,12/26/2022 08:09:04
300,476,41,841,12/9/2022 07:52:02
301,638,452,113,1/25/2021 15:37:17
302,561,101,474,11/15/2021 16:24:27
303,872,44,990,6/4/2021 12:54:26
304,996,232,266,6/14/2021 11:13:56
305,3,416,153,4/7/2021 06:23:59
306,240,342,865,7/5/2022 17:24:52
307,869,461,937,8/9/2021 11:39:42
308,769,161,671,9/23/2021 05:36:07
309,112,4,738,7/17/2021 12:15:57
310,602,28,735,1/24/2021 13:46:00
311,741,476,29,6/8/2021 09:16:27
312,600,210,818,12/13/2020 08:53:43
313,48,436,370,12/17/2021 17:55:11
314,258,291,873,4/26/2020 21:23:45
315,814,313,648,1/18/2021 19:40:00
316,867,439,694,8/18/2021 00:57:04
317,607,36,109,1/30/2021 13:15:41
318,335,239,10,8/27/2021 13:12:45
319,882,183,31,8/19/2022 21:45:18
320,772,215,506,1/15/2020 16:21:41
321,172,226,54,7/6/2020 16:50:46
322,869,233,335,6/15/2022 00:53:02
323,508,1,90,3/28/2022 09:34:58
324,882,201,713,4/15/2022 16:23:22
325,566,110,631,4/8/2020 07:52:22
326,903,372,59,3/5/2020 19:38:17
327,768,497,250,11/17/2022 01:48:36
328,327,87,667,2/13/2023 07:50:11
329,972,149,489,9/16/2020 06:43:54
330,758,234,902,5/28/2021 19:50:34
331,253,43,316,3/3/2023 23:48:58
332,213,5,905,1/22/2021 18:46:04
333,536,371,729,9/12/2021 11:32:54
334,477,163,986,12/25/2022 22:02:34
335,124,418,761,7/22/2021 13:30:30
336,393,493,789,6/4/2020 11:08:45
337,663,155,769,4/1/2022 06:08:35
338,133,265,400,2/1/2022 17:28:57
339,124,489,937,4/12/2020 02:52:38
340,443,44,353,11/22/2021 00:53:38
341,395,311,103,6/15/2020 16:59:24
342,984,90,189,6/5/2022 13:25:21
343,905,282,358,9/27/2020 21:56:12
344,201,311,268,11/21/2021 13:35:05
345,73,387,701,5/25/2021 12:56:31
346,479,55,783,8/13/2022 03:41:38
347,45,350,698,1/18/2022 08:31:40
348,696,440,721,2/26/2020 10:09:42
349,564,334,994,10/14/2020 06:36:00
350,23,157,73,6/14/2021 19:09:26
351,201,61,261,2/23/2023 22:46:38
352,988,143,461,9/23/2022 05:05:21
353,237,96,419,1/24/2022 13:15:42
354,398,420,177,5/13/2023 15:38:39
355,679,60,738,8/5/2020 00:26:52
356,586,274,154,6/5/2020 02:03:17
357,358,410,340,6/10/2021 20:03:45
358,196,66,707,9/5/2021 22:35:05
359,986,368,663,1/17/2022 22:59:17
360,252,371,596,4/4/2021 23:23:48
361,865,152,137,3/18/2022 16:00:39
362,834,332,241,3/6/2022 15:17:19
363,256,66,457,12/15/2022 00:09:39
364,568,107,510,6/24/2021 18:28:55
365,716,380,76,1/16/2022 17:40:37
366,880,468,223,9/8/2021 01:09:52
367,65,144,24,2/11/2022 11:50:59
368,888,195,994,2/26/2023 22:51:22
369,437,272,891,5/7/2022 02:11:10
370,565,261,171,8/11/2020 03:18:13
371,779,500,348,2/24/2020 20:38:00
372,9,148,984,3/17/2022 15:52:27
373,980,255,576,1/30/2020 10:19:28
374,902,287,438,1/19/2023 16:23:21
375,183,175,24,1/7/2021 03:28:28
376,256,183,21,11/5/2022 21:38:32
377,881,217,562,2/19/2023 20:05:31
378,688,316,275,3/27/2020 17:47:21
379,236,497,46,2/11/2022 01:58:42
380,196,221,819,12/17/2020 05:34:53
381,445,72,302,3/15/2023 02:53:45
382,922,412,355,2/28/2021 09:32:55
383,81,68,621,3/13/2021 09:34:09
384,92,477,827,10/6/2021 13:13:13
385,441,146,417,10/4/2021 09:00:52
386,127,63,644,8/5/2020 23:32:23
387,941,467,202,3/14/2022 04:46:43
388,701,46,684,11/12/2020 11:43:50
389,83,198,332,10/12/2020 07:22:24
390,829,124,135,1/22/2023 08:14:26
391,379,251,459,10/1/2020 19:27:16
392,845,281,981,11/15/2022 22:51:46
393,898,70,678,4/3/2022 11:06:12
394,311,201,198,4/21/2020 11:09:52
395,276,243,273,3/26/2022 18:03:38
396,594,56,233,5/8/2021 20:21:38
397,633,84,810,7/22/2020 03:14:46
398,529,366,526,11/11/2022 22:03:34
399,685,416,480,10/17/2020 04:25:45
400,909,89,168,12/23/2022 11:21:13
401,390,244,861,5/10/2020 13:33:36
402,769,101,964,10/1/2022 14:31:21
403,417,211,356,5/17/2021 09:19:41
404,940,101,323,4/30/2022 11:01:25
405,456,144,834,7/4/2020 10:17:38
406,102,69,44,11/6/2022 13:59:35
407,468,154,964,3/15/2020 07:20:30
408,566,17,450,2/20/2023 20:47:48
409,216,317,583,8/18/2022 16:04:33
410,404,10,210,3/27/2021 17:47:21
411,935,370,404,2/19/2020 00:10:56
412,151,110,68,6/3/2023 09:07:59
413,768,392,908,9/20/2021 15:47:51
414,872,120,713,1/3/2022 00:48:39
415,460,401,690,11/16/2021 05:51:22
416,371,87,317,4/20/2022 20:40:37
417,688,475,630,7/27/2020 04:52:19
418,685,86,108,12/7/2021 17:22:23
419,104,422,878,3/8/2023 13:42:09
420,158,44,377,10/15/2022 07:37:48
421,361,22,938,6/10/2022 04:05:18
422,559,10,620,8/22/2021 23:47:25
423,408,377,138,5/23/2020 17:10:26
424,478,400,380,3/2/2020 17:53:53
425,32,179,901,8/23/2020 13:48:50
426,10,34,173,1/31/2022 02:50:49
427,55,246,999,6/13/2021 04:16:38
428,961,243,113,10/15/2020 11:38:09
429,641,438,960,3/31/2023 14:07:16
430,911,486,427,9/11/2020 07:09:28
431,153,375,140,11/22/2020 04:23:31
432,568,310,643,8/6/2022 02:16:44
433,74,314,970,3/22/2021 04:26:59
434,147,458,359,1/7/2023 12:35:35
435,475,54,97,11/21/2020 08:27:06
436,892,150,455,6/7/2023 22:04:10
437,677,311,593,2/25/2021 21:47:48
438,1000,69,477,7/19/2020 12:17:39
439,964,164,411,6/3/2023 13:11:14
440,121,172,476,1/31/2020 08:53:30
441,179,296,846,4/26/2021 02:46:41
442,20,325,343,3/27/2022 14:27:49
443,535,243,352,1/19/2022 09:46:34
444,818,56,644,1/18/2021 21:43:46
445,928,134,827,8/29/2021 02:49:31
446,8,272,336,8/1/2022 07:39:23
447,722,87,43,12/8/2020 04:59:19
448,364,130,324,5/29/2023 08:36:01
449,690,46,797,11/23/2021 07:02:47
450,229,308,66,5/2/2020 01:48:28
451,58,76,249,7/7/2021 23:46:09
452,264,498,469,11/6/2020 15:03:15
453,70,409,206,11/22/2020 16:42:20
454,78,253,840,7/24/2021 12:16:51
455,355,161,673,11/10/2022 00:18:52
456,309,448,592,1/11/2023 05:56:45
457,839,273,432,6/10/2022 01:25:02
458,429,439,973,4/14/2023 01:36:59
459,441,220,969,6/14/2020 14:58:06
460,576,7,33,12/11/2020 17:05:32
461,812,426,482,12/10/2022 01:29:27
462,905,392,450,11/25/2021 06:11:34
463,556,463,611,10/12/2022 00:07:48
464,704,95,338,4/28/2023 02:58:41
465,993,418,785,7/12/2022 06:26:45
466,534,53,512,12/30/2020 17:46:39
467,227,470,838,1/1/2023 12:07:59
468,207,124,315,6/17/2020 00:22:34
469,523,116,424,12/9/2021 19:34:52
470,170,247,159,5/1/2020 15:15:50
471,6,317,301,12/19/2021 20:48:45
472,308,370,921,6/11/2022 15:04:29
473,446,476,591,1/10/2020 20:09:15
474,908,135,624,2/19/2020 04:54:24
475,806,126,36,12/29/2021 03:51:59
476,434,250,291,3/18/2022 18:03:33
477,859,72,962,8/8/2022 09:38:14
478,673,298,111,2/9/2023 01:26:39
479,423,116,256,3/5/2023 20:24:44
480,242,495,980,1/23/2021 22:58:56
481,699,265,594,6/10/2021 04:09:52
482,608,96,917,11/10/2021 14:24:30
483,203,429,978,9/23/2020 20:41:06
484,769,59,666,10/2/2020 20:43:01
485,857,300,169,7/7/2022 23:44:16
486,617,334,599,3/4/2021 07:02:49
487,889,402,62,5/8/2023 01:01:45
488,776,247,937,11/22/2020 04:55:27
489,185,177,566,12/20/2022 10:56:23
490,936,383,282,3/5/2022 08:55:42
491,774,411,889,9/5/2022 08:48:49
492,451,75,974,3/13/2022 11:58:47
493,732,423,788,5/7/2021 22:41:32
494,19,463,37,3/8/2023 07:40:36
495,242,345,171,2/3/2022 01:30:31
496,654,351,299,5/2/2022 21:10:16
497,387,312,422,1/8/2022 03:52:32
498,452,72,716,2/3/2022 20:53:52
499,461,110,147,4/25/2020 18:49:29
500,692,276,413,5/23/2023 09:54:30
501,570,352,240,8/19/2020 17:56:11
502,523,232,413,3/7/2023 14:56:25
503,480,236,62,3/16/2021 02:20:20
504,96,58,115,12/16/2020 07:04:51
505,219,308,874,12/24/2020 11:30:20
506,325,372,899,2/10/2021 22:19:31
507,74,372,77,6/21/2022 03:01:48
508,324,344,604,6/4/2023 10:43:30
509,636,124,390,1/26/2022 12:08:40
510,105,148,523,5/3/2020 11:33:05
511,264,409,669,9/10/2020 23:42:39
512,52,155,738,8/23/2020 00:29:46
513,963,113,129,2/26/2023 07:59:36
514,527,349,646,7/26/2021 06:28:54
515,921,184,8,5/12/2021 12:48:27
516,682,72,553,9/6/2021 02:58:46
517,429,437,864,6/11/2020 03:27:16
518,891,424,762,12/29/2020 22:20:44
519,235,308,208,12/28/2020 06:48:24
520,529,427,565,1/26/2022 13:40:25
521,409,57,397,9/24/2022 18:35:24
522,855,491,106,1/3/2023 15:56:52
523,281,134,249,6/2/2023 01:50:18
524,793,139,795,10/9/2020 12:58:56
525,903,362,444,5/12/2022 13:33:21
526,787,300,971,9/26/2021 14:13:02
527,332,426,42,9/14/2020 08:40:08
528,532,94,859,4/15/2022 04:01:07
529,312,181,578,5/30/2022 07:07:58
530,636,1,556,8/1/2022 01:23:34
531,991,293,784,2/15/2020 14:04:58
532,394,437,428,9/29/2021 18:36:35
533,128,478,28,4/4/2022 17:38:14
534,958,357,790,6/14/2022 01:22:25
535,347,480,274,10/11/2021 11:14:49
536,684,31,878,10/24/2020 16:44:31
537,453,275,246,6/14/2020 06:48:25
538,771,212,374,3/25/2023 02:40:16
539,204,76,949,2/25/2023 12:50:21
540,123,348,920,12/18/2020 10:18:26
541,96,403,642,6/8/2023 02:35:51
542,74,339,967,4/18/2022 01:51:36
543,258,424,353,4/4/2021 04:58:45
544,540,364,478,9/22/2022 05:01:01
545,623,376,897,10/15/2020 23:54:09
546,861,91,725,7/24/2021 04:53:38
547,710,237,26,3/30/2021 21:27:44
548,895,192,836,10/17/2020 11:59:35
549,623,183,748,6/11/2021 21:08:01
550,316,268,211,3/10/2022 06:20:44
551,338,128,717,9/13/2022 08:46:58
552,331,495,311,8/7/2021 05:56:09
553,502,166,660,4/6/2021 15:27:57
554,159,482,207,12/28/2021 17:34:18
555,390,16,852,8/26/2022 16:54:51
556,734,242,185,5/10/2020 10:43:19
557,472,256,556,5/10/2021 08:21:57
558,221,432,166,1/16/2022 11:31:32
559,426,404,66,7/31/2021 17:07:25
560,368,491,130,7/28/2022 01:57:06
561,507,405,737,5/31/2021 16:48:34
562,250,310,990,12/10/2021 07:49:02
563,859,296,85,7/7/2022 23:15:41
564,147,259,342,8/21/2021 05:03:50
565,924,248,872,5/5/2020 03:55:35
566,310,153,805,3/21/2021 10:20:33
567,222,241,127,3/8/2022 11:27:50
568,485,181,839,3/31/2020 06:17:22
569,73,268,330,4/2/2022 04:53:39
570,468,474,960,7/24/2021 20:20:30
571,335,489,29,3/16/2021 02:46:10
572,299,178,771,12/14/2022 20:31:46
573,92,136,582,10/21/2021 09:06:00
574,144,286,557,7/10/2022 09:44:00
575,816,133,420,8/31/2020 23:31:57
576,480,492,823,7/28/2022 00:49:32
577,966,120,242,3/21/2023 10:25:56
578,99,60,351,10/17/2020 20:36:52
579,358,457,189,1/15/2020 11:48:51
580,940,235,165,1/17/2020 18:59:29
581,761,392,690,8/6/2022 21:26:17
582,492,139,139,3/4/2021 14:46:51
583,37,203,713,10/10/2020 14:17:48
584,44,322,608,3/19/2021 02:51:45
585,456,412,114,2/20/2020 00:16:11
586,796,314,576,11/9/2020 13:44:33
587,33,342,477,10/16/2022 01:23:27
588,533,306,551,6/15/2020 02:47:22
589,499,99,976,3/10/2021 01:18:00
590,649,299,27,1/9/2021 11:56:51
591,121,416,743,8/11/2021 01:55:24
592,37,425,883,1/14/2021 07:50:25
593,721,57,734,1/17/2021 09:06:54
594,353,90,283,1/21/2020 15:08:45
595,120,49,370,12/23/2022 08:18:58
596,929,459,842,3/4/2022 02:18:19
597,924,206,283,3/2/2023 17:35:08
598,966,160,31,2/28/2021 15:06:19
599,746,458,614,2/21/2020 07:17:51
600,273,105,850,7/11/2021 02:16:24
601,434,264,325,8/30/2022 00:39:58
602,934,8,352,1/9/2020 20:44:07
603,637,260,347,10/2/2021 16:09:20
604,983,195,334,9/13/2022 22:41:36
605,551,302,430,5/25/2023 03:27:36
606,7,301,875,12/4/2021 00:02:27
607,180,44,416,1/16/2020 02:15:52
608,348,11,907,5/27/2022 06:38:06
609,674,403,130,8/1/2022 05:57:23
610,849,237,855,4/1/2020 10:56:53
611,395,449,771,11/20/2021 21:19:49
612,951,392,710,11/25/2021 02:38:00
613,989,177,575,7/21/2022 03:48:21
614,141,221,249,9/14/2021 11:55:51
615,701,200,499,7/15/2020 02:33:17
616,884,12,12,8/31/2020 00:51:32
617,583,147,916,2/5/2020 18:44:57
618,403,492,741,6/10/2022 21:26:34
619,692,37,213,1/20/2020 07:59:17
620,46,389,820,3/12/2020 06:34:17
621,214,72,459,5/24/2020 04:48:22
622,581,466,52,6/28/2022 06:37:02
623,73,337,741,2/2/2023 01:31:08
624,778,282,987,1/5/2023 23:58:49
625,860,305,209,11/29/2022 08:13:45
626,970,326,220,1/23/2022 09:48:21
627,413,92,352,3/6/2021 18:07:17
628,290,92,866,8/14/2022 00:28:48
629,257,393,161,2/2/2020 06:43:40
630,331,267,647,9/27/2021 06:34:03
631,753,155,461,4/8/2023 08:18:57
632,702,381,853,5/11/2020 05:47:42
633,50,420,260,1/19/2023 10:26:35
634,568,180,659,12/11/2021 22:35:06
635,521,481,201,7/5/2021 02:11:37
636,810,8,291,9/3/2020 14:07:52
637,560,235,553,5/24/2020 07:31:00
638,944,137,113,7/28/2020 18:34:39
639,88,322,606,3/22/2020 05:29:16
640,30,12,71,2/26/2022 02:39:56
641,122,293,158,6/6/2021 04:17:49
642,552,45,318,10/29/2022 14:40:26
643,358,348,640,8/31/2021 20:47:41
644,100,198,10,9/3/2021 08:51:24
645,110,106,524,12/6/2022 06:22:57
646,474,405,568,4/26/2021 16:40:37
647,781,11,971,5/1/2020 12:03:10
648,794,16,230,3/29/2022 02:19:14
649,833,146,369,5/3/2020 11:40:50
650,954,103,654,9/22/2022 17:49:11
651,129,414,985,1/18/2023 10:01:18
652,936,239,413,12/18/2020 12:24:03
653,541,486,198,2/1/2021 01:21:35
654,433,414,553,1/2/2020 11:42:54
655,107,450,284,1/31/2023 10:34:08
656,827,375,716,7/1/2021 19:19:56
657,460,420,124,7/31/2022 13:26:11
658,482,234,940,8/1/2022 07:27:37
659,212,234,81,9/28/2021 15:57:32
660,301,174,389,1/26/2023 08:19:30
661,93,297,593,10/30/2021 21:49:39
662,553,173,967,2/14/2020 13:41:29
663,449,275,738,1/15/2020 05:08:15
664,663,318,986,2/11/2022 14:25:29
