SubscriptionID,SubscriptionTypeID,ContractID,SubscriptionStart
345,1,393,7/1/2021
346,2,2,1/16/2022
347,4,381,9/12/2020
348,2,820,4/10/2020
349,3,730,4/28/2022
350,4,865,2/3/2021
351,2,899,11/11/2020
352,2,596,5/14/2022
353,3,39,4/26/2020
354,1,960,2/5/2021
355,3,589,6/14/2023
356,3,248,5/19/2021
357,1,856,10/31/2021
358,3,454,11/27/2023
359,4,39,6/21/2023
360,2,490,4/27/2023
361,4,460,11/19/2022
362,2,242,11/4/2023
363,1,607,6/28/2020
364,3,73,1/3/2022
365,3,654,11/22/2023
366,1,86,11/17/2023
367,1,2,9/18/2022
368,3,906,9/23/2022
369,3,240,10/20/2022
370,2,608,4/15/2020
371,2,199,11/28/2022
372,2,856,11/17/2022
373,3,398,10/11/2020
374,1,428,12/27/2023
375,1,324,2/6/2021
376,4,528,12/21/2020
377,1,512,6/15/2020
378,2,77,9/23/2023
379,1,785,4/3/2021
380,2,438,6/1/2023
381,2,614,3/7/2023
382,2,650,2/21/2023
383,4,501,4/27/2022
384,3,383,1/8/2021
385,3,118,1/5/2021
386,4,33,8/24/2021
387,2,580,5/30/2023
388,4,974,7/23/2022
389,2,531,8/10/2020
390,3,742,3/14/2022
391,3,210,3/5/2020
392,2,32,5/3/2022
393,1,833,1/13/2020
394,4,402,8/17/2021
395,4,651,11/2/2022
396,2,169,4/4/2020
397,3,9,11/21/2022
398,1,820,12/16/2021
399,4,686,10/18/2021
400,3,870,6/5/2020
401,1,292,10/20/2020
402,2,61,6/23/2021
403,3,20,11/4/2020
404,1,445,9/5/2021
405,2,916,2/1/2020
406,1,228,12/19/2023
407,2,94,9/29/2022
408,3,322,11/27/2022
409,4,712,11/5/2021
410,1,320,1/21/2022
411,2,271,4/27/2022
412,3,2,2/8/2020
413,2,303,4/14/2020
414,2,757,5/28/2021
415,1,933,1/23/2022
416,2,649,9/8/2023
417,2,645,11/13/2023
418,1,186,7/27/2022
419,2,696,3/24/2020
420,2,56,12/8/2020
421,2,268,3/31/2021
422,2,431,11/4/2022
423,4,757,4/30/2020
424,2,310,5/3/2020
425,4,139,6/30/2022
426,4,849,2/21/2023
427,1,694,4/11/2023
428,1,685,7/12/2023
429,2,976,6/13/2023
430,4,252,10/3/2023
431,2,994,9/27/2021
432,4,486,7/23/2023
433,3,38,10/8/2021
434,4,6,12/11/2020
435,1,857,4/3/2021
436,2,605,11/5/2020
437,1,605,4/24/2022
438,1,193,9/15/2021
439,1,997,9/1/2022
440,4,405,3/24/2020
441,4,190,1/31/2021
442,4,865,8/3/2023
443,1,951,3/4/2022
444,1,483,11/26/2023
445,4,297,6/28/2023
446,3,767,4/3/2020
447,4,748,9/27/2021
448,2,505,7/25/2022
449,2,806,10/28/2021
450,2,51,12/14/2021
451,4,396,6/30/2022
452,4,512,12/22/2023
453,3,486,10/18/2021
454,4,746,12/13/2020
455,4,337,8/5/2021
456,3,989,2/8/2020
457,2,753,10/8/2023
458,4,802,12/28/2023
459,1,208,3/10/2023
460,1,718,4/27/2023
461,3,853,6/1/2020
462,1,6,4/2/2022
463,1,377,10/7/2023
464,2,985,3/27/2020
465,4,164,9/28/2023
466,2,625,6/22/2022
467,2,875,3/1/2020
468,3,271,3/21/2023
469,4,900,9/20/2021
470,4,279,10/14/2020
471,1,778,1/3/2022
472,1,350,9/13/2021
473,3,218,5/2/2022
474,1,312,1/23/2022
475,2,313,9/2/2020
476,3,151,2/23/2021
477,2,751,5/15/2022
478,2,39,12/2/2023
479,1,518,6/10/2021
480,2,126,1/27/2020
481,2,848,5/20/2023
482,4,428,12/25/2022
483,3,513,12/15/2021
484,3,380,9/7/2021
485,3,197,4/1/2021
486,4,610,2/25/2020
487,1,397,6/6/2023
488,4,64,5/21/2023
489,2,561,5/8/2020
490,1,820,11/14/2020
491,4,652,2/4/2020
492,2,126,6/24/2021
493,4,537,12/14/2022
494,3,761,2/26/2020
495,4,326,8/2/2022
496,4,1,2/4/2021
497,1,618,1/10/2020
498,4,744,3/6/2021
499,4,151,1/14/2021
500,1,428,6/10/2023
501,1,361,5/10/2023
502,4,91,8/8/2021
503,3,539,4/24/2023
504,3,975,10/10/2020
505,2,359,3/30/2021
506,4,291,1/24/2021
507,3,116,3/13/2021
508,2,35,9/4/2023
509,3,818,1/21/2022
510,3,369,7/16/2021
511,4,731,10/15/2021
512,1,643,5/22/2023
513,1,662,8/29/2023
514,4,439,5/6/2021
515,4,480,1/17/2023
516,1,203,10/28/2023
517,2,513,2/16/2022
518,2,962,6/24/2021
519,4,403,3/16/2020
520,1,154,6/13/2022
521,2,845,7/7/2022
522,4,83,3/18/2021
523,2,147,1/20/2020
524,4,425,10/4/2022
525,4,120,4/23/2021
526,2,929,4/24/2020
527,1,70,5/23/2023
528,3,628,4/6/2021
529,1,458,10/7/2021
530,2,642,5/7/2020
531,1,633,1/1/2020
532,2,954,8/12/2022
533,2,346,8/13/2023
534,2,507,7/29/2023
535,1,916,4/27/2023
536,3,472,11/28/2022
537,2,589,2/28/2022
538,4,742,11/1/2021
539,3,970,5/27/2020
540,3,955,11/18/2021
541,1,610,6/5/2020
542,3,642,4/12/2020
543,1,617,11/27/2023
544,3,446,9/10/2023
545,1,796,7/8/2021
546,3,697,1/6/2020
547,4,640,11/6/2023
548,4,839,2/15/2022
549,2,917,2/17/2020
550,4,926,10/22/2020
551,3,122,10/20/2022
552,3,640,7/14/2022
553,2,329,6/26/2022
554,4,80,10/24/2020
555,3,46,2/17/2023
556,1,228,12/5/2023
557,2,101,2/11/2020
558,1,674,4/7/2023
559,1,338,9/16/2022
560,2,21,10/30/2023
561,4,136,3/19/2020
562,1,191,12/26/2023
563,3,335,5/23/2022
564,1,527,1/13/2020
565,3,335,1/10/2021
566,4,400,5/23/2021
567,3,68,7/2/2021
568,4,643,6/14/2021
569,1,517,10/26/2022
570,3,798,5/27/2023
571,3,494,6/27/2022
572,1,491,5/10/2021
573,3,181,8/23/2020
574,3,947,1/30/2022
575,1,431,9/13/2022
576,2,765,1/10/2023
577,1,300,10/1/2020
578,4,807,7/1/2020
579,3,265,7/18/2021
580,4,939,10/8/2020
581,4,899,9/14/2023
582,4,408,5/21/2021
583,2,510,4/16/2020
584,4,639,9/30/2021
585,4,937,1/10/2023
586,3,645,8/5/2020
587,3,569,2/6/2022
588,1,499,8/10/2020
589,1,238,7/18/2022
590,4,61,4/15/2021
591,1,82,11/19/2022
592,1,642,12/19/2022
593,4,818,4/20/2022
594,3,960,1/6/2020
595,4,246,3/24/2020
596,2,954,7/25/2020
597,3,425,6/25/2020
598,4,256,2/13/2022
599,1,599,8/24/2023
600,3,724,5/2/2022
601,2,354,12/19/2021
602,1,508,8/7/2022
603,4,191,10/3/2023
604,4,242,10/17/2023
605,3,448,8/9/2020
606,2,520,7/23/2021
607,3,38,5/10/2022
608,4,499,5/28/2020
609,1,227,3/19/2023
610,3,328,6/11/2021
611,2,85,1/17/2020
612,1,664,1/14/2023
613,3,321,6/12/2021
614,4,596,3/22/2022
615,1,62,3/3/2021
616,3,205,8/31/2021
617,4,897,9/22/2021
618,2,651,5/18/2020
619,1,346,6/18/2022
620,2,40,12/6/2022
621,3,856,3/16/2023
622,4,575,10/25/2022
623,2,28,7/1/2021
624,2,151,9/5/2023
625,4,879,2/11/2020
626,4,918,12/4/2021
627,2,513,12/29/2022
628,2,604,7/28/2023
629,1,561,7/14/2023
630,1,607,2/27/2023
631,4,238,7/20/2021
632,3,863,12/7/2020
633,1,371,9/10/2020
634,2,728,2/10/2022
635,1,723,1/28/2023
636,1,749,12/16/2023
637,2,922,6/19/2021
638,4,322,10/26/2023
639,3,151,6/9/2021
640,3,852,1/10/2022
641,1,723,5/19/2020
642,4,429,9/30/2021
643,2,148,7/15/2022
644,2,233,12/28/2020
645,1,40,4/10/2021
646,1,348,10/30/2021
647,2,453,6/28/2022
648,4,582,8/1/2020
649,2,627,11/3/2021
650,1,160,2/3/2020
651,1,528,11/25/2021
652,4,927,5/4/2023
653,2,737,2/2/2020
654,1,690,4/19/2022
655,4,949,11/26/2022
656,2,757,3/25/2023
657,3,508,12/18/2021
658,2,756,10/11/2023
659,3,446,12/17/2020
660,3,560,12/8/2020
661,3,254,8/15/2020
662,1,587,2/2/2023
663,2,247,9/24/2021
664,1,193,4/4/2022
665,1,903,9/1/2021
666,4,452,5/4/2022
667,3,222,8/9/2021
668,3,686,5/27/2021
669,3,656,3/18/2022
670,1,423,5/31/2020
671,3,528,3/29/2021
672,4,486,1/18/2021
673,3,707,10/16/2021
674,4,754,8/20/2022
675,3,538,1/5/2023
676,4,534,8/1/2023
677,2,151,1/28/2023
678,4,979,2/11/2021
679,3,480,10/16/2022
680,2,423,8/2/2020
681,4,588,7/14/2022
682,4,127,3/4/2020
683,1,636,4/2/2023
684,2,597,11/25/2021
685,1,939,11/1/2020
686,1,268,6/23/2020
687,4,940,11/22/2022
688,3,889,12/9/2020
689,1,611,11/11/2021
690,2,179,5/22/2022
691,2,355,1/15/2023
692,4,188,7/14/2022
693,1,340,3/12/2021
694,2,984,5/17/2022
695,4,543,1/11/2021
696,3,71,10/5/2022
697,1,921,12/1/2022
698,3,302,10/14/2022
699,2,847,2/26/2022
700,1,727,9/23/2023
701,4,12,6/20/2022
702,2,849,4/22/2021
703,2,716,12/27/2021
704,2,531,1/31/2023
705,3,489,7/20/2023
706,2,95,2/17/2023
707,4,360,11/6/2023
708,3,749,5/18/2020
709,3,554,11/28/2023
710,3,412,10/1/2023
711,1,668,10/11/2021
712,4,366,6/23/2021
713,3,327,8/11/2020
714,3,141,8/13/2022
715,1,896,9/11/2023
716,3,41,12/12/2022
717,4,546,9/5/2020
718,1,641,4/30/2021
719,4,765,3/14/2021
720,2,842,4/10/2023
721,3,924,7/30/2023
722,3,676,5/12/2020
723,3,526,5/23/2023
724,3,405,8/31/2022
725,4,174,5/10/2020
726,4,247,2/8/2020
727,4,284,3/21/2022
728,4,917,4/15/2020
729,4,610,3/6/2021
730,3,822,4/13/2022
731,1,312,10/11/2021
732,2,359,5/21/2021
733,4,294,5/6/2020
734,2,756,12/24/2023
735,3,287,12/18/2022
736,1,502,1/2/2022
737,3,83,3/3/2023
738,2,479,1/25/2020
739,4,650,11/19/2020
740,2,283,4/20/2020
741,1,497,11/25/2020
742,4,539,9/25/2023
743,1,332,10/21/2021
744,3,79,8/15/2020
745,4,234,6/21/2022
746,1,899,1/29/2020
747,3,488,10/11/2020
748,2,943,12/27/2020
749,4,170,8/5/2021
750,2,701,6/29/2020
751,2,689,12/11/2020
752,3,213,4/26/2022
753,4,542,5/14/2023
754,3,698,8/30/2023
755,1,34,3/12/2023
756,3,124,9/1/2023
757,4,326,3/14/2021
758,1,532,2/1/2023
759,2,777,10/13/2023
760,3,746,12/6/2021
761,1,680,6/24/2021
762,1,671,2/14/2021
763,1,292,7/28/2023
764,3,923,3/17/2023
765,4,875,6/30/2020
766,1,189,12/23/2020
767,3,257,8/21/2023
768,3,226,1/3/2022
769,2,373,8/15/2023
770,3,302,4/16/2021
771,1,860,7/25/2022
772,1,965,12/8/2021
773,4,899,9/11/2020
774,3,129,8/23/2021
775,2,376,1/11/2022
776,2,352,1/29/2020
777,3,769,2/2/2022
778,4,375,1/12/2022
779,2,475,8/11/2021
780,2,778,6/3/2020
781,4,136,7/19/2023
782,3,919,4/16/2022
783,3,547,1/31/2022
784,3,957,1/20/2022
785,3,145,8/31/2020
786,1,441,12/9/2020
787,2,384,7/1/2021
788,1,393,10/27/2020
789,3,348,3/20/2022
790,3,528,3/3/2022
791,4,888,3/26/2021
792,1,402,3/25/2021
793,3,981,4/22/2022
794,2,255,8/6/2023
795,3,146,1/23/2023
796,1,986,4/9/2020
797,4,187,4/1/2023
798,2,116,12/7/2021
799,4,870,12/18/2023
800,4,322,3/18/2023
801,2,662,9/20/2020
802,3,914,7/19/2021
803,1,770,12/21/2021
804,3,956,2/8/2022
805,4,355,8/11/2022
806,4,788,4/3/2020
807,2,139,5/8/2020
808,1,149,7/27/2023
809,1,992,12/4/2022
810,4,884,3/9/2021
811,2,362,5/6/2020
812,2,828,2/14/2022
813,1,278,1/21/2020
814,3,5,7/11/2021
815,1,764,6/25/2020
816,3,426,5/18/2022
817,2,212,6/15/2021
818,1,263,12/19/2023
819,1,290,3/24/2023
820,2,944,3/16/2020
821,2,242,6/8/2021
822,1,771,10/4/2023
823,3,610,7/6/2023
824,1,482,12/4/2021
825,2,634,1/7/2020
826,1,74,7/22/2020
827,1,773,4/8/2020
828,2,660,12/7/2023
829,3,386,12/27/2021
830,3,228,1/9/2020
831,2,399,1/24/2020
832,1,848,3/13/2021
833,3,848,4/5/2023
834,2,283,11/30/2022
835,3,728,6/8/2022
836,4,977,5/27/2023
837,3,559,5/9/2022
838,1,191,9/26/2022
839,4,860,10/12/2020
840,4,22,6/22/2023
841,1,877,3/10/2021
842,1,356,8/2/2021
843,2,630,3/22/2021
844,1,77,12/21/2021
845,4,808,3/29/2023
846,4,616,12/31/2022
847,4,439,11/28/2023
848,2,960,6/10/2021
849,4,956,2/28/2023
850,3,709,8/5/2022
851,4,498,5/27/2020
852,2,809,1/5/2021
853,2,261,10/13/2020
854,2,246,1/11/2021
855,4,213,9/8/2021
856,1,42,9/15/2022
857,4,679,4/24/2021
858,1,289,3/24/2023
859,2,105,8/25/2020
860,3,339,5/26/2021
861,2,737,8/28/2023
862,3,37,9/24/2021
863,4,282,12/1/2021
864,2,301,1/15/2022
865,3,743,1/11/2023
866,4,706,7/2/2021
867,1,585,5/1/2020
868,3,280,8/19/2022
869,4,405,1/29/2022
870,2,836,10/27/2022
871,4,558,12/18/2023
872,4,897,9/27/2021
873,3,654,6/19/2020
874,3,579,9/17/2023
875,4,854,11/10/2020
876,3,448,11/10/2022
877,3,467,12/31/2021
878,1,759,7/16/2022
879,1,571,4/19/2022
880,1,756,3/5/2023
881,2,943,12/8/2023
882,1,576,5/15/2020
883,4,180,9/5/2022
884,3,730,3/30/2021
885,4,837,5/1/2021
886,1,365,1/20/2020
887,1,464,10/15/2023
888,3,564,5/8/2020
889,1,749,9/22/2022
890,3,579,2/13/2020
891,3,982,1/9/2021
892,3,147,11/20/2022
893,2,762,4/16/2021
894,3,439,3/13/2022
895,3,909,7/21/2023
896,4,536,2/15/2022
897,1,542,1/8/2022
898,1,219,2/14/2022
899,4,735,11/1/2021
900,4,505,11/14/2020
901,3,731,5/29/2021
902,2,685,5/8/2023
903,1,889,4/21/2022
904,1,361,5/28/2020
905,4,158,7/26/2021
906,3,141,11/9/2020
907,3,614,6/14/2022
908,4,619,11/23/2023
909,1,375,1/20/2021
910,2,475,10/5/2021
911,1,670,4/9/2023
912,2,349,9/15/2020
913,1,739,1/24/2023
914,2,568,1/13/2020
915,4,573,9/14/2020
916,1,660,6/1/2021
917,2,497,11/8/2022
918,3,159,12/1/2023
919,2,272,12/28/2022
920,2,819,7/12/2020
921,2,267,9/16/2021
922,4,18,2/10/2021
923,1,456,10/13/2020
924,4,211,8/22/2020
925,3,905,8/8/2021
926,4,732,2/26/2021
927,1,914,11/2/2023
928,2,243,11/8/2021
929,3,613,5/29/2021
930,3,749,2/6/2021
931,1,746,3/29/2020
932,3,644,9/2/2022
933,1,842,11/28/2022
934,1,458,11/20/2023
935,2,373,12/7/2020
936,3,264,8/20/2023
937,1,278,6/9/2023
938,3,565,11/10/2023
939,4,57,4/1/2023
940,3,699,12/16/2020
941,3,362,7/1/2021
942,4,4,8/6/2021
943,3,135,1/29/2021
944,1,798,7/31/2021
945,3,20,1/2/2020
946,2,501,9/16/2022
947,3,148,9/18/2023
948,3,264,7/11/2022
949,4,913,1/29/2020
950,2,720,2/1/2021
951,3,29,1/8/2021
952,3,396,4/21/2022
953,3,675,8/27/2021
954,2,592,5/1/2020
955,3,8,11/28/2020
956,2,170,11/2/2023
957,4,268,5/9/2020
958,1,306,5/7/2021
959,4,509,1/23/2022
960,1,29,9/25/2021
961,2,145,5/26/2021
962,4,450,12/12/2020
963,1,297,5/28/2021
964,3,72,11/21/2022
965,4,472,6/22/2021
966,3,47,2/28/2023
967,3,132,10/30/2023
968,4,770,2/21/2020
969,3,563,8/24/2023
970,4,565,10/30/2023
971,1,411,12/6/2022
972,1,110,12/2/2021
973,3,864,10/9/2021
974,1,872,5/23/2023
975,4,925,4/9/2023
976,1,191,2/7/2021
977,3,864,3/3/2023
978,1,141,11/12/2021
979,2,453,1/9/2021
980,4,962,7/11/2020
981,4,33,8/31/2023
982,2,356,5/10/2020
983,2,843,2/3/2020
984,1,313,12/16/2020
985,4,854,9/27/2021
986,1,457,2/27/2022
987,2,85,12/23/2022
988,1,478,2/11/2023
989,1,660,12/27/2021
990,1,625,4/13/2020
991,4,185,10/14/2022
992,4,430,4/22/2023
993,4,139,5/7/2021
994,1,872,8/24/2023
995,2,282,5/11/2021
996,1,408,9/27/2020
997,2,425,8/25/2022
998,1,905,8/9/2023
999,4,944,8/17/2022
1000,4,265,10/1/2020
