PartID,PartNumber,InstallationDate,ReplacementDate,SupplierID,ReplacementPartID,SensorID
35,43-5851445,6/12/2021,7/29/2020,9,null,668
36,75-3588830,8/18/2020,2/27/2021,1,null,157
37,80-6216198,9/25/2021,3/29/2020,7,null,602
38,00-0903116,9/30/2020,4/29/2021,3,null,930
39,47-8732071,3/11/2020,12/19/2023,8,null,29
40,56-6002981,11/15/2022,10/10/2020,3,null,183
41,59-6212296,11/27/2022,7/16/2020,1,null,415
42,02-0249863,7/16/2020,12/25/2023,4,null,543
43,59-8615447,5/22/2021,6/1/2021,7,null,176
44,66-3209954,8/29/2021,3/1/2023,4,null,671
45,45-5930287,6/22/2022,11/27/2022,5,null,898
46,60-1847981,4/23/2021,3/1/2021,6,null,494
47,95-0838295,1/28/2021,7/8/2020,6,null,586
48,26-7429237,7/1/2021,1/19/2022,6,null,8
49,09-0247543,9/26/2023,4/30/2023,6,null,337
50,82-8362643,7/19/2023,1/21/2021,9,null,177
51,61-5208731,7/12/2023,11/26/2021,10,null,332
52,04-3515939,1/1/2020,9/21/2023,3,null,785
53,23-1374136,4/3/2020,11/18/2020,8,null,581
54,59-0478719,7/8/2021,5/5/2020,8,null,792
55,86-7901427,8/17/2023,4/8/2023,3,null,354
56,39-9677059,8/4/2022,2/18/2021,2,null,980
57,25-3288357,2/4/2021,11/21/2023,8,null,313
58,66-8421105,3/12/2020,8/1/2020,8,null,48
59,38-4493251,3/19/2020,2/24/2021,4,null,571
60,54-0465383,5/24/2020,8/26/2022,7,null,197
61,90-5680930,12/7/2023,9/7/2021,4,null,29
62,94-7717227,2/9/2021,6/23/2021,2,null,656
63,42-7188481,12/14/2022,4/5/2022,1,null,11
64,41-8778849,6/24/2022,11/27/2023,7,null,78
65,44-9826759,8/8/2023,11/13/2021,8,null,254
66,38-4985052,4/23/2020,4/8/2023,9,null,355
67,46-8935258,9/1/2023,5/5/2020,3,null,602
68,36-1817508,7/9/2021,4/26/2022,9,null,374
69,54-5921571,3/8/2021,7/9/2022,2,null,577
70,31-7977267,1/19/2020,3/2/2023,1,null,164
71,16-5183509,8/17/2022,4/12/2020,9,null,103
72,26-0005492,1/21/2020,5/18/2021,2,null,38
73,40-0701087,5/19/2021,1/15/2021,10,null,726
74,01-8282365,2/19/2021,2/26/2023,4,null,763
75,60-4290301,5/14/2021,6/29/2021,2,null,705
76,42-1523465,4/16/2020,1/17/2023,2,null,481
77,62-1308764,8/7/2021,11/25/2023,3,null,635
78,49-7964346,3/23/2022,1/27/2021,1,929,403
79,99-5348195,12/19/2022,5/13/2022,2,null,513
80,87-3146966,1/26/2022,2/2/2021,3,null,867
81,94-4284108,3/31/2022,11/24/2021,2,null,625
82,62-9056930,2/22/2022,1/26/2020,6,null,185
83,52-3632463,8/5/2022,5/31/2021,8,null,789
84,56-3485277,7/2/2023,11/9/2020,9,null,864
85,08-9978485,9/4/2023,9/6/2020,9,null,430
86,46-2318169,7/19/2020,5/7/2021,6,null,18
87,54-2188149,8/23/2021,4/6/2023,2,null,257
88,15-2137262,8/26/2020,11/1/2022,6,null,203
89,00-1726593,3/23/2023,3/3/2021,8,null,546
90,01-8964429,9/11/2022,10/29/2023,9,null,441
91,75-4895811,8/7/2020,10/14/2023,9,null,906
92,96-2039971,7/26/2021,1/29/2023,3,null,184
93,11-8950185,1/7/2021,3/5/2021,4,null,614
94,72-9825097,4/5/2020,12/21/2020,9,null,650
95,62-2027038,11/12/2022,7/20/2023,5,null,757
96,00-2394070,9/28/2020,12/17/2020,5,null,634
97,38-3195140,7/3/2022,11/16/2022,2,null,315
98,69-3865814,11/8/2021,2/22/2022,3,null,441
99,76-7038754,6/2/2023,9/6/2023,2,null,551
100,18-3818997,11/26/2023,1/2/2022,7,null,272
101,68-0629895,10/21/2023,7/15/2023,2,null,865
102,55-7474642,11/25/2022,7/17/2023,10,null,859
103,02-0151843,10/8/2021,3/27/2023,2,null,54
104,57-2969603,6/22/2020,9/10/2021,2,null,583
105,49-2766673,3/26/2022,6/10/2022,4,null,407
106,63-4858397,3/24/2021,1/23/2022,10,null,55
107,00-4484614,4/6/2022,3/18/2021,5,null,467
108,83-0230105,10/18/2022,12/31/2022,2,null,39
109,01-0496512,2/3/2020,10/26/2021,6,null,681
110,95-2709487,1/29/2022,11/16/2021,9,null,911
111,63-2531863,7/28/2022,7/14/2020,4,null,233
112,98-8714385,9/25/2021,5/7/2023,8,null,229
113,64-0643001,4/2/2021,1/11/2020,8,null,656
114,27-4572565,4/27/2023,7/24/2022,5,null,528
115,06-2257859,7/5/2020,12/12/2021,4,null,380
116,27-9811980,1/25/2020,11/8/2020,8,null,859
117,17-1207653,5/31/2020,5/1/2023,8,null,704
118,49-7077029,12/31/2022,4/26/2021,4,null,255
119,08-0920031,5/17/2020,10/18/2023,1,null,24
120,91-6471284,3/12/2021,5/3/2021,8,null,451
121,73-4446278,12/31/2022,4/26/2022,10,null,335
122,30-0265463,10/15/2022,12/27/2022,3,null,628
123,97-1667652,12/12/2020,8/25/2022,5,null,490
124,56-4605990,9/6/2022,7/19/2023,1,null,176
125,85-3379709,9/13/2021,6/9/2020,5,null,997
126,94-8937423,10/29/2022,9/11/2022,9,null,441
127,83-1594153,2/8/2023,9/20/2022,2,null,773
128,83-5931144,9/11/2020,10/18/2023,10,null,590
129,52-1975745,11/29/2020,4/14/2022,1,null,554
130,42-7871060,6/15/2021,1/14/2022,4,null,451
131,05-6998089,1/10/2023,9/21/2022,5,null,409
132,18-7858524,7/22/2022,5/16/2022,6,null,133
133,88-0746287,2/26/2021,2/5/2020,4,null,305
134,09-1572094,4/29/2022,1/25/2023,8,null,973
135,49-8561713,4/1/2022,6/2/2023,10,null,783
136,53-9726718,6/17/2022,8/11/2022,4,null,28
137,72-0024896,5/28/2022,7/12/2023,1,null,525
138,59-8240479,1/7/2021,1/20/2023,2,null,685
139,20-2982348,2/17/2022,8/27/2022,6,null,768
140,95-2948905,11/11/2022,12/27/2023,8,null,66
141,08-1219511,4/30/2020,8/7/2021,7,null,306
142,08-8107141,11/20/2022,6/17/2023,6,null,447
143,96-8332022,3/11/2021,1/7/2021,8,null,31
144,68-9929864,3/7/2021,10/23/2020,9,null,670
145,80-5315337,6/23/2020,12/4/2020,10,null,241
146,83-2059583,12/26/2023,1/14/2023,2,null,682
147,49-3053137,6/8/2020,1/3/2021,2,null,588
148,80-3884441,9/1/2022,7/17/2022,8,null,786
149,67-1521969,11/3/2021,5/31/2023,5,null,31
150,09-1254042,7/26/2021,7/8/2020,6,992,161
151,02-0339435,7/28/2022,8/19/2021,1,null,827
152,02-0299516,2/10/2021,11/18/2021,9,null,117
153,08-2233871,6/11/2020,1/22/2021,2,null,457
154,75-2022551,4/2/2021,10/9/2022,9,null,473
155,85-4066710,11/19/2021,2/17/2022,5,null,367
156,42-0409525,5/10/2021,2/6/2021,6,null,475
157,51-2141770,6/1/2022,12/26/2020,5,null,622
158,04-1716505,5/22/2021,5/24/2021,5,null,67
159,34-4965927,3/11/2023,3/31/2023,6,null,425
160,56-8441305,11/18/2021,8/2/2023,1,null,515
161,71-9220001,6/27/2022,1/23/2020,6,null,390
162,54-9928437,1/19/2020,9/3/2020,10,null,341
163,54-7321944,1/31/2023,12/29/2020,7,null,22
164,74-6756497,7/6/2023,2/2/2020,7,null,544
165,82-9431060,9/18/2021,5/9/2022,5,null,898
166,09-6185080,11/22/2021,3/16/2021,6,null,768
167,97-2657907,10/25/2021,12/29/2023,8,null,717
168,46-0764486,6/20/2023,12/15/2020,1,null,135
169,43-2253497,9/6/2022,3/21/2021,9,null,629
170,40-3891681,12/30/2021,5/11/2020,4,null,205
171,03-8254537,1/6/2023,5/28/2022,5,null,1
172,66-8435995,1/28/2021,2/1/2023,3,null,569
173,95-6429311,6/2/2022,5/27/2022,2,null,880
174,35-3717594,4/25/2023,4/8/2021,7,null,785
175,10-7689815,8/26/2023,4/26/2023,1,null,191
176,59-9261320,3/4/2022,4/28/2023,7,null,520
177,31-7307002,7/8/2021,4/24/2021,9,null,68
178,07-8417062,1/12/2023,10/19/2023,7,669,504
179,07-3266288,3/9/2021,9/28/2021,7,null,956
180,37-7938977,5/13/2021,8/3/2022,6,null,971
181,46-5558723,4/19/2023,9/23/2022,8,null,805
182,66-5866316,3/20/2023,5/31/2021,5,null,878
183,28-0580996,3/3/2021,3/30/2023,2,null,823
184,63-9248061,5/9/2021,6/26/2021,9,null,72
185,02-0072135,4/12/2023,1/3/2020,4,null,325
186,81-8815929,1/31/2022,1/5/2022,7,null,725
187,00-7812625,12/21/2020,10/24/2023,8,null,902
188,44-0295067,6/24/2021,3/8/2021,4,null,122
189,58-4936146,2/16/2021,1/14/2021,4,null,722
190,82-3628965,2/11/2023,6/27/2022,3,null,375
191,18-0120500,12/17/2021,7/29/2022,10,null,318
192,88-4521267,8/8/2022,7/22/2021,4,null,926
193,84-1820511,7/24/2022,12/19/2021,1,null,900
194,47-3456125,2/11/2021,2/8/2022,9,null,66
195,82-1171919,10/19/2023,9/11/2020,1,null,330
196,66-2881493,9/11/2023,4/4/2023,3,null,841
197,66-6063168,8/14/2022,1/27/2020,3,null,187
198,14-6565289,2/13/2021,4/29/2023,1,null,919
199,30-8602756,11/2/2022,12/28/2022,2,39,580
200,40-5452998,3/27/2020,6/26/2021,10,null,762
201,34-8784391,7/21/2023,8/3/2021,2,null,50
202,29-0891017,1/22/2022,5/14/2020,9,null,332
203,69-2475234,1/23/2022,12/9/2023,8,null,236
204,17-5459652,4/21/2022,6/5/2020,10,null,462
205,32-7187846,7/27/2023,4/10/2020,8,null,917
206,33-8598302,3/4/2021,5/27/2021,2,null,142
207,84-8349088,8/26/2021,5/5/2022,8,null,741
208,67-0170529,1/28/2022,12/9/2020,9,null,92
209,64-5284480,5/20/2021,7/4/2020,2,null,784
210,90-9533207,4/4/2021,3/20/2020,2,null,522
211,92-2833638,2/11/2020,1/14/2021,1,null,148
212,49-1320978,8/6/2020,11/21/2020,8,null,177
213,88-4313528,10/21/2021,5/3/2022,7,527,880
214,02-4062134,1/18/2022,6/25/2022,3,null,96
215,32-6224424,11/18/2022,6/23/2021,8,null,14
216,59-5767284,9/15/2020,6/14/2021,6,485,282
217,51-7116618,11/30/2022,7/11/2022,7,null,811
218,48-3166628,3/18/2022,5/14/2023,1,null,957
219,68-9433242,7/31/2022,12/6/2020,5,null,641
220,68-9896167,11/29/2022,8/2/2021,6,null,937
221,30-4500825,6/15/2022,1/30/2022,6,null,204
222,18-9436037,2/9/2021,2/11/2023,6,null,855
223,97-7004226,11/2/2022,1/17/2023,10,null,559
224,22-5175668,12/8/2020,11/27/2023,3,null,373
225,82-5542236,9/3/2022,8/6/2023,2,null,70
226,73-2498322,2/14/2020,10/29/2021,1,null,727
227,62-3732698,6/3/2022,5/24/2023,2,null,622
228,55-2680779,3/25/2020,2/23/2020,10,null,442
229,71-0996252,3/10/2023,3/22/2021,3,null,63
230,58-0487426,11/15/2021,10/31/2020,10,null,865
231,25-3548169,12/3/2021,3/10/2020,5,null,466
232,38-3796009,1/7/2021,11/8/2022,8,null,423
233,19-2725089,12/24/2023,3/24/2021,4,null,989
234,63-4309996,2/3/2022,10/7/2021,7,null,737
235,59-1591881,9/25/2021,5/8/2022,8,null,697
236,21-4864988,5/22/2022,1/1/2021,8,null,542
237,19-8498099,1/16/2021,1/19/2022,6,null,555
238,30-0813803,9/17/2022,8/4/2020,10,null,655
239,17-4709378,12/4/2021,8/6/2022,9,null,507
240,07-1864110,4/29/2023,12/29/2021,8,null,834
241,91-9798043,9/15/2020,6/4/2023,5,null,468
242,76-3137356,8/8/2022,1/17/2022,2,null,604
243,38-0590657,10/26/2021,10/8/2022,4,null,798
244,83-3832702,8/12/2022,1/14/2021,2,null,371
245,93-3373746,10/30/2020,8/25/2021,7,null,580
246,99-2419009,11/22/2022,1/8/2021,8,null,394
247,71-4494742,1/6/2022,8/7/2021,2,null,805
248,55-3636886,7/11/2022,8/3/2020,4,null,301
249,09-5725016,9/22/2020,4/6/2021,7,null,946
250,40-1356092,2/1/2022,3/14/2021,3,null,718
251,82-9782107,8/29/2020,12/16/2020,8,null,257
252,44-3624677,7/6/2021,12/14/2021,2,null,678
253,81-8862183,8/9/2023,12/26/2020,7,null,483
254,99-0983991,10/5/2020,4/7/2022,7,null,802
255,01-9281807,9/29/2022,4/5/2023,2,null,823
256,76-8468948,9/4/2023,6/29/2021,9,null,987
257,16-0896361,7/18/2023,3/4/2020,6,null,703
258,97-8735962,7/21/2023,8/7/2020,10,null,360
259,31-5661185,10/2/2021,11/13/2021,8,null,432
260,12-8784662,6/27/2020,8/17/2020,2,null,207
261,77-7949978,5/6/2020,1/10/2022,10,null,527
262,60-5026995,7/8/2020,2/17/2023,6,null,593
263,63-6601415,6/19/2020,2/5/2022,5,null,783
264,87-7582461,8/22/2023,4/21/2020,3,null,283
265,15-0452454,2/16/2020,10/2/2022,5,null,817
266,65-0007641,2/5/2023,1/28/2021,3,null,716
267,14-4514535,11/23/2021,10/12/2023,2,null,456
268,03-4752863,10/6/2020,6/22/2022,4,700,313
269,99-0924435,12/28/2020,9/9/2022,6,null,553
270,06-3792305,12/12/2022,12/25/2022,8,null,465
271,58-4768139,12/17/2020,1/29/2020,8,null,939
272,10-9770967,1/20/2022,4/28/2020,6,null,937
273,55-6825134,11/14/2022,1/11/2022,3,null,468
274,70-7020191,9/22/2020,4/5/2021,2,null,945
275,88-0943534,6/28/2023,2/4/2022,8,null,9
276,01-0573330,7/18/2022,5/17/2023,10,null,126
277,80-2861932,2/24/2020,1/28/2023,1,null,940
278,81-7183391,3/23/2021,10/5/2022,10,null,658
279,94-4724599,4/15/2023,11/10/2021,1,null,48
280,52-5182047,9/14/2021,4/2/2022,5,null,784
281,99-9657222,12/25/2022,10/23/2021,10,null,557
282,81-6100619,6/24/2021,12/21/2020,5,null,972
283,74-0859403,4/23/2022,7/18/2020,1,null,164
284,85-5688554,7/22/2023,12/1/2023,5,null,732
285,80-3011215,2/8/2023,5/20/2020,1,null,725
286,98-9160688,8/29/2020,8/17/2020,5,null,55
287,10-4933558,1/29/2020,6/18/2022,5,null,50
288,31-0244811,9/13/2022,4/24/2023,7,null,393
289,18-3372506,3/10/2022,4/11/2023,10,null,119
290,91-2961501,6/28/2020,3/1/2022,6,null,853
291,73-0943176,4/21/2023,7/18/2021,7,null,801
292,22-1198019,6/7/2022,12/8/2021,2,null,497
293,74-4117094,5/24/2023,12/20/2020,6,null,957
294,31-4201576,2/1/2022,7/1/2021,6,null,598
295,56-2771347,2/24/2021,11/1/2022,10,null,854
296,47-5010006,1/28/2022,2/26/2021,1,null,287
297,78-7790021,2/26/2022,6/15/2021,9,null,870
298,34-9104864,3/17/2020,2/15/2023,5,null,71
299,42-1029137,9/30/2020,3/12/2020,6,null,46
300,15-9157824,4/6/2021,8/23/2021,7,null,209
301,44-7162233,4/22/2021,7/11/2021,6,null,508
302,46-7960735,1/7/2020,5/1/2020,4,null,904
303,23-1260634,4/10/2020,1/19/2022,7,null,316
304,91-5400656,10/25/2021,5/10/2021,5,null,806
305,26-2572452,4/19/2021,7/16/2021,2,null,172
306,41-1156583,2/5/2022,10/31/2022,6,null,249
307,59-3191248,5/30/2022,10/17/2020,10,null,441
308,59-8107307,9/29/2020,7/10/2020,3,null,336
309,49-8183275,1/8/2023,6/22/2022,2,null,543
310,50-2949061,6/24/2021,7/3/2020,4,null,822
311,90-3159953,1/27/2020,5/16/2020,8,null,464
312,11-1277651,3/19/2021,9/25/2020,6,null,503
313,67-4947279,12/8/2022,10/30/2020,2,null,356
314,11-8513929,10/16/2020,8/27/2022,3,null,498
315,32-4637258,4/28/2021,10/7/2022,2,null,704
316,09-7359722,12/13/2021,9/12/2022,3,null,438
317,84-4390073,12/22/2021,1/17/2020,3,null,922
318,55-2596386,9/13/2022,11/19/2020,9,null,549
319,36-0922756,11/22/2020,8/30/2020,10,66,311
320,74-2260571,3/28/2023,4/13/2022,4,null,562
321,99-5341161,6/26/2021,10/15/2023,3,null,994
322,76-6865429,2/26/2022,1/20/2023,7,null,433
323,31-5013207,12/15/2020,7/6/2021,7,null,862
324,17-3142139,11/22/2022,6/27/2020,4,576,941
325,84-8860295,5/24/2022,12/26/2021,2,null,953
326,25-6619575,5/13/2022,9/14/2020,9,null,971
327,11-0875410,1/7/2021,7/31/2020,8,null,896
328,38-7388954,4/17/2023,4/26/2021,10,null,395
329,75-2719221,4/19/2020,11/16/2023,5,null,637
330,89-4706831,1/18/2022,12/17/2020,3,null,589
331,11-6710604,12/5/2022,9/24/2022,2,null,589
332,85-3208639,6/26/2020,8/14/2020,2,null,105
333,00-4994831,9/21/2022,11/4/2022,9,null,654
334,92-2318782,1/29/2021,2/25/2023,6,null,329
335,16-3277993,1/2/2020,11/28/2023,7,null,216
336,86-5207849,2/1/2021,6/11/2022,7,null,844
337,32-5868146,11/1/2020,1/17/2020,9,null,209
338,13-8890913,7/14/2023,12/6/2021,10,null,410
339,97-1996443,8/21/2022,11/4/2021,5,null,23
340,45-1409086,12/22/2021,9/26/2020,6,null,941
341,78-1601994,9/27/2021,3/15/2021,8,null,732
342,85-6749739,11/5/2023,1/31/2023,1,null,317
343,86-5214360,11/21/2020,12/9/2021,7,null,778
344,50-5849612,8/9/2022,4/23/2023,3,null,201
345,32-6320033,6/16/2023,8/16/2023,7,null,67
346,18-3427808,9/26/2022,4/26/2023,1,null,53
347,62-9330163,8/17/2023,3/8/2022,7,null,784
348,05-1342335,3/28/2023,5/4/2022,9,null,53
349,71-3895949,2/1/2022,9/8/2022,3,null,685
350,70-6590285,2/3/2021,1/18/2021,2,null,669
351,70-5689639,10/2/2023,12/26/2020,1,null,459
352,91-6226821,12/14/2022,12/11/2021,10,null,703
353,53-9867592,9/16/2021,3/28/2020,1,null,319
354,34-0526610,11/24/2022,11/23/2023,2,null,329
355,64-7868270,3/21/2023,4/30/2023,10,null,665
356,85-2776572,12/19/2021,6/23/2022,5,null,625
357,55-7849817,11/2/2020,11/10/2022,9,null,717
358,20-9825824,3/17/2021,3/28/2021,9,null,825
359,71-9034697,7/1/2022,12/7/2022,7,null,661
360,90-8782454,1/17/2021,6/8/2020,4,358,104
361,91-5018162,10/31/2021,1/11/2020,10,null,60
362,64-4011421,12/23/2022,7/16/2021,2,null,139
363,32-7801605,4/26/2023,5/31/2021,5,null,418
364,66-5497442,6/11/2023,9/3/2023,3,null,262
365,44-8048297,12/8/2021,6/9/2022,3,null,392
366,59-9457952,9/22/2022,4/2/2022,3,null,375
367,51-6800631,5/15/2022,5/19/2022,6,null,301
368,06-3283701,7/28/2023,7/24/2020,1,null,549
369,82-8638671,12/25/2021,12/11/2022,3,null,921
370,70-8212693,7/22/2021,2/19/2020,4,null,90
371,61-4856051,1/12/2021,7/23/2023,3,null,736
372,36-6708491,3/23/2023,5/7/2021,7,null,487
373,43-2960469,12/5/2020,3/27/2021,3,null,100
374,81-1158991,8/12/2020,5/27/2023,2,null,106
375,77-4911797,5/26/2022,5/9/2023,7,null,694
376,39-6202034,2/28/2021,11/6/2021,10,null,514
377,38-2211738,2/28/2023,4/7/2022,9,null,543
378,93-4331526,3/13/2021,2/6/2023,9,null,143
379,98-9460113,4/4/2023,12/10/2021,4,null,361
380,40-8065064,11/10/2022,2/11/2022,3,null,977
381,38-5514834,10/30/2021,9/2/2023,4,null,854
382,77-7328081,2/7/2021,9/9/2021,5,null,536
383,88-2421082,12/28/2020,10/18/2023,4,null,66
384,46-3010968,6/27/2020,5/16/2020,10,null,548
385,93-8384361,4/8/2021,4/12/2020,7,null,746
386,05-4919682,6/12/2022,4/26/2022,8,null,960
387,03-7245005,7/11/2020,2/13/2022,5,null,505
388,65-9736471,7/25/2021,3/29/2021,3,null,720
389,38-4227960,1/18/2023,1/23/2022,4,null,24
390,52-5465839,4/25/2022,4/12/2020,3,null,745
391,85-1424901,2/5/2023,10/14/2023,5,null,965
392,81-0824938,12/3/2022,1/28/2021,8,null,362
393,07-1631468,11/6/2023,7/26/2020,6,null,552
394,55-6627155,4/22/2023,10/27/2022,1,253,241
395,35-6454938,3/16/2021,11/14/2022,6,null,468
396,52-1185563,5/22/2021,12/11/2023,1,null,523
397,79-0911244,11/2/2022,10/10/2021,7,null,760
398,82-4733531,8/30/2022,12/21/2023,1,null,347
399,57-0066517,7/11/2023,5/14/2022,4,null,277
400,99-4870027,6/13/2020,8/10/2022,1,null,209
401,72-0277233,2/22/2020,10/10/2020,10,null,10
402,25-9554745,3/24/2022,6/26/2022,2,null,976
403,16-8581196,6/3/2021,10/2/2023,8,null,275
404,01-4545787,6/22/2023,6/27/2021,5,null,778
405,03-7904667,10/28/2023,4/4/2020,5,null,556
406,80-2262986,9/1/2023,8/27/2023,8,null,830
407,43-0645488,2/28/2020,7/9/2021,4,null,59
408,51-9282605,5/18/2020,4/30/2021,5,null,390
409,65-3572093,6/17/2022,10/25/2022,5,null,237
410,99-5055148,3/7/2023,12/5/2022,10,null,408
411,67-4207563,7/24/2022,12/8/2023,9,null,835
412,78-3288872,8/18/2023,5/31/2021,2,null,70
413,19-1312987,2/15/2020,3/31/2023,7,null,3
414,68-5001765,1/7/2021,6/7/2023,3,null,856
415,96-2518295,6/7/2023,11/16/2021,3,null,525
416,01-6491889,1/13/2021,4/6/2021,4,null,827
417,41-1967155,12/4/2021,6/4/2023,4,17,430
418,11-1147694,4/6/2022,1/9/2020,8,null,893
419,78-1736551,1/16/2020,11/9/2022,10,902,575
420,77-1252059,4/6/2021,2/19/2020,10,null,568
421,60-2244049,12/3/2021,8/17/2022,5,null,793
422,98-3021641,6/11/2023,5/27/2023,3,null,254
423,96-3215556,6/14/2020,9/1/2021,5,null,791
424,84-5195038,12/25/2023,5/23/2020,5,null,225
425,95-5962415,7/18/2021,6/29/2020,8,null,861
426,25-6141593,11/30/2020,4/28/2022,8,null,662
427,74-7361683,2/13/2022,7/10/2020,8,null,238
428,49-1080513,5/23/2020,2/22/2020,1,null,639
429,23-6816945,9/14/2022,1/26/2020,7,null,957
430,54-0259937,5/6/2022,4/18/2023,2,null,612
431,00-1105910,9/11/2021,11/13/2020,8,null,960
432,29-8295696,11/30/2022,5/20/2023,4,null,147
433,74-3172418,8/13/2020,9/29/2023,4,null,85
434,50-3738928,2/2/2021,8/29/2021,5,428,889
435,41-5484393,5/29/2022,5/26/2020,9,null,734
436,47-9619061,6/14/2023,5/25/2021,10,null,995
437,04-3550009,10/12/2023,12/9/2022,2,null,598
438,41-8605445,9/15/2022,9/3/2022,6,null,49
439,03-7311523,6/30/2023,7/21/2022,10,null,812
440,24-1798069,11/12/2023,7/20/2020,8,67,190
441,52-4498855,4/16/2022,6/7/2020,3,null,54
442,63-6867905,7/21/2020,10/26/2022,9,null,624
443,97-3863211,12/27/2021,12/11/2022,9,null,158
444,74-4370561,6/23/2023,7/2/2023,8,null,128
445,86-9900456,8/12/2023,6/29/2022,9,null,467
446,30-8181750,3/10/2020,2/7/2021,5,null,505
447,58-0774916,8/18/2021,11/5/2020,6,null,375
448,18-5749035,1/25/2020,12/28/2021,6,null,31
449,70-0558270,10/21/2023,9/27/2023,8,null,249
450,25-6835496,1/14/2023,8/18/2022,1,null,672
451,21-9659380,1/1/2023,8/14/2020,10,null,709
452,42-9529749,5/9/2023,5/31/2023,2,null,83
453,31-9937874,10/7/2022,10/3/2023,4,null,575
454,54-9674329,1/3/2021,11/6/2021,5,null,409
455,79-6007155,5/12/2021,3/13/2020,9,null,635
456,61-4594056,2/28/2022,12/3/2021,5,null,355
457,46-4913934,7/25/2020,9/3/2020,7,null,140
458,09-6456530,9/18/2021,1/5/2022,3,null,243
459,50-5215323,1/11/2020,1/28/2020,1,null,808
460,52-8749103,4/5/2023,5/16/2023,2,null,878
461,44-3202549,3/9/2022,10/8/2022,1,null,405
462,41-6720094,1/19/2020,7/23/2020,5,null,958
463,97-8031023,8/26/2022,11/6/2021,6,null,8
464,45-1876711,6/27/2020,10/16/2022,9,null,574
465,46-3650023,4/30/2020,7/27/2023,7,null,722
466,84-5382922,7/6/2022,6/1/2021,4,null,79
467,20-0680536,10/26/2021,7/9/2020,7,null,908
468,17-3282038,10/25/2020,2/18/2020,1,null,626
469,24-7002187,4/7/2022,9/23/2021,9,null,361
470,91-9481611,10/14/2022,3/26/2022,10,null,375
471,59-1005945,4/27/2022,8/24/2023,8,null,748
472,42-6893802,3/3/2020,4/7/2020,1,null,550
473,04-5351914,10/18/2021,8/27/2023,1,null,785
474,72-0308313,7/25/2023,7/6/2021,3,null,871
475,17-4631830,6/20/2021,7/6/2020,3,null,107
476,11-8958861,11/21/2021,9/26/2022,8,null,461
477,50-4897187,10/21/2020,4/15/2022,1,null,853
478,24-6325832,12/12/2023,10/2/2020,8,null,773
479,26-2720085,4/28/2022,11/17/2021,9,null,101
480,43-2701933,12/1/2021,9/28/2022,3,853,196
481,81-9630488,4/14/2022,10/19/2020,10,null,375
482,43-5320109,10/27/2020,10/31/2021,4,null,184
483,86-2760082,2/10/2020,2/9/2023,5,null,436
484,73-9189843,5/2/2020,5/20/2020,2,865,855
485,97-0684295,4/16/2022,3/6/2023,7,null,304
486,46-9799165,12/4/2022,9/25/2022,4,null,727
487,07-9097904,3/23/2020,7/13/2021,3,null,407
488,14-7611124,9/30/2021,9/2/2020,2,null,847
489,26-9200629,9/6/2021,4/26/2020,4,null,797
490,86-9567862,6/24/2021,5/13/2020,6,null,339
491,76-5128899,12/1/2020,9/6/2020,4,null,148
492,18-4311232,7/31/2020,2/25/2023,5,null,719
493,61-0391264,2/12/2021,5/25/2023,2,null,872
494,70-4814121,2/21/2022,10/25/2020,8,null,103
495,56-4256620,12/15/2023,3/11/2023,10,null,40
496,17-8844077,5/22/2020,10/9/2021,3,null,583
